Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
raspberries frozen,1.175,raspberries frozen,77.5,0.95,0.405,19.05,13.09,5.45,2.5,0.0445,0.0,21.35,0.7949999999999999,23.5,0.414,0.0414999999999999,0.0255,20.0,0.0975,0.6699999999999999,17.5,0.66,23.0,0.25,0.3
apple juice,2.84,juice apple,52.0,0.17,0.12,12.96,9.95,0.2,0.0,0.018,0.0,50.7,0.01,0.0,0.094,0.015,0.005,72.0,0.013,0.14,6.0,0.086,11.0,0.1,0.06
blueberry juice,3.0,juice smoothie naked juice,64.0,0.5566666666666666,0.0,15.14,12.083333333333334,0.9666666666666668,0.0,0.3193333333333333,1.0433333333333332,12.5,1.8766666666666667,0.0,2.7776666666666667,0.0,0.0,5.333333333333333,0.0,0.1999999999999999,3.333333333333333,0.0,0.0,0.0,0.0
cranberry juice,2.88,cranberry juice unsweetened,46.0,0.39,0.13,12.2,12.1,0.1,2.0,0.052,0.0,9.3,1.2,1.0,0.091,0.018,0.009,8.0,0.055,0.25,6.0,0.0,13.0,0.1,0.1
fig juice,3.2,juice smoothie naked juice,64.0,0.5566666666666666,0.0,15.14,12.083333333333334,0.9666666666666668,0.0,0.3193333333333333,1.0433333333333332,12.5,1.8766666666666667,0.0,2.7776666666666667,0.0,0.0,5.333333333333333,0.0,0.1999999999999999,3.333333333333333,0.0,0.0,0.0,0.0
kiwi juice,2.84,juice smoothie naked juice,64.0,0.5566666666666666,0.0,15.14,12.083333333333334,0.9666666666666668,0.0,0.3193333333333333,1.0433333333333332,12.5,1.8766666666666667,0.0,2.7776666666666667,0.0,0.0,5.333333333333333,0.0,0.1999999999999999,3.333333333333333,0.0,0.0,0.0,0.0
mango juice,2.96,juice smoothie naked juice,64.0,0.5566666666666666,0.0,15.14,12.083333333333334,0.9666666666666668,0.0,0.3193333333333333,1.0433333333333332,12.5,1.8766666666666667,0.0,2.7776666666666667,0.0,0.0,5.333333333333333,0.0,0.1999999999999999,3.333333333333333,0.0,0.0,0.0,0.0
pineapple juice,2.78,pineapple juice frozen concentrate,115.0,0.8500000000000001,0.065,28.485,28.035,0.4499999999999999,2.0,0.1645,0.0,27.0,0.02,24.0,0.55,0.04,0.15,26.0,0.179,0.53,24.5,2.244,18.5,0.25,0.24
strawberry juice,2.68,v8 splash juice drinks strawberry kiwi,29.0,0.0,0.0,7.41,7.41,0.0,0.0,0.0,0.0,24.7,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange juice,0.6237565317,beverages orange juice,21.0,0.21,0.0,5.42,4.17,0.0,10.0,0.05,0.0,30.0,1.25,10.0,0.333,0.028,0.063,0.0,0.018,0.0,10.0,0.0,4.0,0.0,0.02
pear juice,0.49045,juice apple,52.0,0.17,0.12,12.96,9.95,0.2,0.0,0.018,0.0,50.7,0.01,0.0,0.094,0.015,0.005,72.0,0.013,0.14,6.0,0.086,11.0,0.1,0.06
buckwheat flour,1.96,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
graham flour,0.47,nuts acorn flour,501.0,7.49,30.17,54.65,0.0,0.0,3.0,0.688,0.0,0.0,0.0,114.0,2.382,0.154,0.146,43.0,0.611,1.21,110.0,1.743,103.0,0.0,0.64
maize flour,1.31,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
millet flour,1.37,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
oat meal,1.126,oat bran raw,246.0,17.3,7.03,66.22,1.45,15.4,0.0,0.165,0.0,0.0,1.01,52.0,0.934,0.22,1.17,58.0,0.403,5.41,235.0,5.63,734.0,45.2,3.11
sorghum flour,1.33,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
wheat plain flour,0.612069375,wheat flour white,367.25,10.13125,2.2550000000000003,74.64500000000001,0.20625,2.2,0.0,0.0419999999999999,0.0,0.0,0.315,248.875,5.61975,0.4213749999999999,0.6985,108.625,0.138625,4.8175,21.125,0.7210000000000001,177.375,22.5875,0.69125
whole wheat flour,0.3756691542,wheat flour whole grain,336.0,11.41,2.225,73.225,0.715,11.9,0.0,0.299,0.0,0.0,0.62,36.0,5.152,0.1765,0.3994999999999999,33.5,0.4425,3.655,127.0,3.733,340.0,37.25,2.78
chocolate,6.6,frostings chocolate,399.5,1.1525000000000003,12.1825,74.505,14.4275,1.775,39.0,0.05275,0.0075,0.0,0.455,2.25,0.122,0.0244999999999999,0.0075,10.75,0.23775,1.1175,29.75,0.208,60.5,1.25,0.5925
ice cream,1.02,ice cream sandwich made with light ice cream,186.0,4.29,3.04,39.64,17.86,0.0,96.0,0.01,0.02,0.0,0.14,19.0,0.555,0.052,0.039,30.0,0.09,0.09,10.0,0.0,26.0,1.1,0.21
vanilla,4.3,frostings vanilla,413.6666666666667,0.2133333333333333,11.29,78.65666666666667,21.03333333333333,0.0666666666666666,26.666666666666668,0.001,0.0033333333333333,0.0,0.51,2.6666666666666665,0.0746666666666666,0.1033333333333333,0.0036666666666666,4.0,0.021,0.0566666666666666,1.6666666666666667,0.004,9.333333333333334,0.5,0.03
azuki bean flour,1.32,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
mung bean flour,1.49,corn flour masa,363.0,8.46,3.69,76.59,1.0733333333333337,6.400000000000001,3.6666666666666665,0.4749999999999999,0.0,0.0,0.08,233.0,7.166,0.5690000000000001,1.0576666666666668,138.0,0.209,6.156666666666666,93.0,0.376,231.0,10.5,1.8
soy meal,0.62,soy meal defatted,338.0,47.075,2.39,38.015,0.0,0.0,2.0,0.569,0.0,0.0,0.0,303.0,2.587,0.251,0.691,244.0,2.0,13.7,306.0,3.8,701.0,3.3,5.06
beans in can,0.109,beans lima,71.0,4.07,0.29,13.33,0.0,3.6,8.0,0.062,0.0,7.3,0.0,16.0,0.532,0.043,0.029,28.0,0.162,1.61,34.0,0.7,71.0,1.1,0.64
green beans in can,1.45,pace diced green chilies,27.0,0.0,0.0,6.67,3.33,3.3,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beans frozen,1.77,beans lima,71.0,4.07,0.29,13.33,0.0,3.6,8.0,0.062,0.0,7.3,0.0,16.0,0.532,0.043,0.029,28.0,0.162,1.61,34.0,0.7,71.0,1.1,0.64
green beans frozen,2.741769912,beans kidney,174.46666666666667,12.419333333333332,0.4666666666666667,31.285333333333337,0.6206666666666667,11.386666666666668,0.0,0.1758,0.0,1.9866666666666664,0.0953333333333333,164.86666666666667,0.9436,0.1010666666666666,0.2284,67.46666666666667,0.4244,3.96,67.93333333333334,0.5392666666666667,204.0,1.7266666666666666,1.3559999999999997
margarine,1.43,margarine like butter margarine blend,718.0,0.9,80.7,0.6,0.0,0.0,819.0,0.01,0.1,0.1,5.0,2.0,0.03,0.04,0.01,28.0,0.005,0.09,2.0,0.0,23.0,0.5,0.02
almond covered with chocolate,4.8,beverages chocolate malt,49.0,3.25,0.17,8.64,7.77,0.0,137.0,0.116,0.36,3.3,0.54,5.0,0.865,0.134,0.093,234.0,0.089,0.74,20.0,0.0,97.0,2.0,0.97
hazelnut covered with chocolate,3.43,candies chocolate covered,470.0,9.5,21.0,60.67,41.35,4.3,42.0,0.16,0.0,1.4,1.1,92.0,4.76,0.16,0.04,78.0,0.58,1.7,81.0,0.0,166.0,2.8,1.87
almond paste,2.98,nuts almond paste,458.0,9.0,27.74,47.81,36.25,4.8,0.0,0.036,0.0,0.1,13.54,73.0,1.422,0.414,0.082,172.0,0.454,1.6,130.0,0.856,258.0,4.2,1.48
hazelnut cream,2.71,cream fluid,240.5,2.47,24.68,3.4275,3.4275,0.0,242.0,0.03125,0.2324999999999999,0.7250000000000001,0.7050000000000001,3.25,0.054,0.133,0.0282499999999999,83.75,0.00775,0.0425,8.25,0.001,74.5,0.85,0.315
hazelnut paste,1.685,nuts almond paste,458.0,9.0,27.74,47.81,36.25,4.8,0.0,0.036,0.0,0.1,13.54,73.0,1.422,0.414,0.082,172.0,0.454,1.6,130.0,0.856,258.0,4.2,1.48
peanut butter,1.15,margarine like butter margarine blend,718.0,0.9,80.7,0.6,0.0,0.0,819.0,0.01,0.1,0.1,5.0,2.0,0.03,0.04,0.01,28.0,0.005,0.09,2.0,0.0,23.0,0.5,0.02
peanut paste,1.84,nuts almond paste,458.0,9.0,27.74,47.81,36.25,4.8,0.0,0.036,0.0,0.1,13.54,73.0,1.422,0.414,0.082,172.0,0.454,1.6,130.0,0.856,258.0,4.2,1.48
olive oil,3.837506911,oil olive,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,1.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0
palm oil,2.3159,oil palm,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
peanut oil,2.8975,oil hazelnut,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soybean oil,2.303482143,oil soybean,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.0033333333333333
