Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
camembert,7.55,lean pockets ham n cheddar,230.0,10.28,6.53,32.52,7.6,1.7,0.0,0.102,0.44,0.1,0.29,84.0,3.462,0.307,0.412,196.0,0.076,2.15,21.0,0.286,197.0,11.8,1.21
cheese,9.288191958,cheese edam,357.0,24.99,27.8,1.43,1.43,0.0,243.0,0.076,1.54,0.0,0.24,16.0,0.082,0.389,0.037,731.0,0.036,0.44,30.0,0.011,536.0,14.5,3.75
cheese semi hard,8.647,croissants cheese,414.0,9.2,20.9,47.0,11.35,2.6,204.0,0.073,0.32,0.2,1.44,103.0,2.16,0.325,0.523,53.0,0.1,2.15,24.0,0.34,130.0,26.8,0.94
goat cheese,8.18,cheese goat,360.0,23.54,28.83666666666667,0.7633333333333333,0.7633333333333333,0.0,393.6666666666667,0.13,0.1766666666666666,0.0,0.25,6.0,1.326,0.7486666666666667,0.094,444.3333333333333,0.6409999999999999,1.8,33.0,0.1483333333333333,453.3333333333333,4.033333333333334,1.0566666666666666
grana padano,14.27333333,carambola starfruit,31.0,1.04,0.33,6.73,3.98,2.8,3.0,0.017,0.0,34.4,0.15,12.0,0.367,0.016,0.014,3.0,0.137,0.08,10.0,0.037,12.0,0.6,0.12
parmigiano reggiano,14.07556667,cheese parmesan,388.6,32.726,26.2,5.122,0.524,0.0,196.6,0.0851999999999999,1.532,0.0,0.288,8.2,0.2144,0.3835999999999999,0.035,1039.8,0.0768,0.806,43.6,0.0398,718.4,24.48,3.4400000000000004
pecorino,18.85333333,cheese parmesan,388.6,32.726,26.2,5.122,0.524,0.0,196.6,0.0851999999999999,1.532,0.0,0.288,8.2,0.2144,0.3835999999999999,0.035,1039.8,0.0768,0.806,43.6,0.0398,718.4,24.48,3.4400000000000004
eggs,3.228266612,eggs scrambled,131.0,13.1,5.6,7.5,7.5,0.0,21.0,0.01,0.17,0.0,0.84,17.0,0.09,0.3,0.01,17.0,0.03,0.23,10.0,0.0,30.0,22.9,0.14
honey,1.7425,vinegar cider,21.0,0.0,0.0,0.93,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.008,0.2,5.0,0.249,8.0,0.1,0.04
kangaroo meat,4.1,moose meat,103.0,22.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.24,0.07,5.0,0.067,3.28,23.0,0.008,165.0,0.0,2.8
lamb bone free meat,27.20904498,game meat rabbit,165.2,26.860000000000003,5.5680000000000005,0.0,0.0,0.0,0.0,0.33,5.696,0.0,0.1699999999999999,7.2,7.151999999999999,0.132,0.06,16.4,0.1372,2.852,24.0,0.018,233.6,25.06,1.718
lamb meat with bone,18.00556969,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
buffalo milk,3.751428571,milk imitation,46.0,1.6,2.0,5.3,5.3,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,82.0,0.02,0.1,1.0,0.0,100.0,1.8,0.1
cow milk,1.432598057,milk sheep,108.0,5.98,7.0,5.36,0.0,0.0,44.0,0.06,0.71,4.2,0.0,7.0,0.417,0.355,0.065,193.0,0.046,0.1,18.0,0.018,158.0,1.7,0.54
goat milk,1.437,milk goat,69.0,3.56,4.14,4.45,4.45,0.0,57.0,0.046,0.07,1.3,0.07,1.0,0.277,0.138,0.048,134.0,0.046,0.05,14.0,0.018,111.0,1.4,0.3
pork bone free meat,5.786150705200001,luncheon meat pork,313.5,12.5,27.700000000000003,2.75,0.0,0.0,0.0,0.2465,0.755,22.0,0.25,5.0,3.1505,0.1865,0.3155,3.0,0.0414999999999999,0.6799999999999999,12.0,0.012,95.5,26.5,1.8
bacon,4.025,bacon meatless,310.0,10.68,29.52,6.32,0.0,2.6,4.0,0.479,0.0,0.0,6.9,42.0,7.56,0.481,4.4,23.0,0.105,2.41,19.0,0.205,70.0,7.4,0.42
neck,4.025,turkey skin,397.0,19.465,35.43,0.0,0.0,0.0,69.0,0.2004999999999999,1.9,0.0,0.105,0.0,4.0725,0.1575,0.036,5.0,0.049,1.205,15.5,0.006,155.0,15.7,1.265
pork ham,7.9325,salami pork,396.0,15.01,30.5,15.38,6.21,0.2,4.0,0.489,1.76,0.7,0.0,8.0,4.803,0.336,0.738,94.0,0.088,1.55,31.0,0.057,272.0,14.6,3.08
pork sausages,17.94,bratwurst pork,259.5,14.085,21.355,2.2350000000000003,0.785,0.0,1.0,0.27,1.165,0.0,0.13,4.0,3.321,0.2365,0.2745,21.0,0.0834999999999999,0.735,17.5,0.0144999999999999,170.0,29.950000000000003,2.965
pork meat with bone,3.49622331,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
chicken bone free meat,4.239098846,game meat rabbit,165.2,26.860000000000003,5.5680000000000005,0.0,0.0,0.0,0.0,0.33,5.696,0.0,0.1699999999999999,7.2,7.151999999999999,0.132,0.06,16.4,0.1372,2.852,24.0,0.018,233.6,25.06,1.718
duck meat bone free,4.1,duck young duckling,184.25,26.9875,7.6775,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,7.32625,0.0,0.0,9.25,0.0,3.04,0.0,0.0,0.0,24.700000000000003,0.0
turkey meat bone free,5.106728977,turkey ham cured turkey thigh meat,126.0,17.5,4.84,2.04,1.43,0.2,7.0,0.209,0.23,8.9,0.64,7.0,2.118,0.149,0.03,8.0,0.25,2.34,22.0,0.02,294.0,32.2,2.59
chicken meat with bone,3.24822457,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
duck meat with bone,2.07,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
turkey meat with bone,2.075,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
rabbit meat with bone,4.305,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
snails,0.73,fast foods shrimp,308.0,7.84,18.9,27.99,0.1,0.7,32.0,0.06,0.53,0.0,2.52,62.0,1.24,0.02,0.06,29.0,0.097,0.86,16.0,0.172,185.0,9.7,0.58
yogurt flavoured,2.812144286,yogurt greek,80.83333333333333,8.615,0.6683333333333333,10.038333333333332,9.29,0.4833333333333334,0.3333333333333333,0.0523333333333333,0.6183333333333333,0.0833333333333333,0.0016666666666666,1.1666666666666667,0.2091666666666667,0.2491666666666666,0.0306666666666666,97.33333333333331,0.0178333333333333,0.0683333333333333,10.5,0.0203333333333333,118.16666666666669,9.4,0.4483333333333333
yogurt lactose free,3.16,elk free range,121.5,24.9725,2.3875,0.0,0.0,0.0,0.0,0.80475,2.855,0.0,0.315,0.5,7.1025,0.3585,0.1695,4.25,0.16525,5.295,24.5,0.0269999999999999,220.75,18.525,5.6425
yogurt white,2.095343049,frostings white,307.5,1.9,0.0,78.75,0.0,0.0,0.0,0.001,0.01,0.0,0.0,2.5,0.8300000000000001,0.042,0.001,4.0,0.032,0.075,2.5,0.006,6.0,3.35,0.015
coffee green,0.494625,beverages green tea,1.0,0.2066666666666666,0.0,0.0,0.0,0.0,0.0,0.0016666666666666,0.0,0.0999999999999999,0.0,0.0,0.01,0.0193333333333333,0.0023333333333333,0.3333333333333333,0.0046666666666666,0.02,0.6666666666666666,0.1896666666666666,0.0,0.0,0.01
date,0.6,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
raisin,0.658,frostings coconut nut,433.0,1.5,24.0,52.7,40.0,2.5,0.0,0.047,0.0,0.2,1.09,2.0,0.212,0.019,0.035,13.0,0.125,0.54,19.0,0.673,63.0,2.5,0.41
exotic fruit,2.43,coffeecake fruit,311.0,5.2,10.2,51.5,0.0,2.5,7.0,0.037,0.02,0.8,0.0,67.0,2.573,0.19,0.037,45.0,0.03,2.43,17.0,0.24,118.0,16.5,0.65
raspberry,7.35,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
strawberry,2.943543814,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
avocado,0.9975,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
banana,0.81292,puddings banana,242.25,1.3775000000000002,2.44,54.93375,23.03125,0.075,21.75,0.01625,0.15625,0.1875,0.015,2.0,0.03775,0.07175,0.0175,57.25,0.018875,0.0674999999999999,8.0,0.008,274.625,1.7500000000000002,0.2
coconut,1.78,frostings coconut nut,433.0,1.5,24.0,52.7,40.0,2.5,0.0,0.047,0.0,0.2,1.09,2.0,0.212,0.019,0.035,13.0,0.125,0.54,19.0,0.673,63.0,2.5,0.41
exotic fruit,2.43,coffeecake fruit,311.0,5.2,10.2,51.5,0.0,2.5,7.0,0.037,0.02,0.8,0.0,67.0,2.573,0.19,0.037,45.0,0.03,2.43,17.0,0.24,118.0,16.5,0.65
pineapple,0.7309220779,pineapple raw,48.66666666666666,0.54,0.12,12.813333333333333,9.486666666666666,0.9333333333333332,3.0,0.1106666666666666,0.0,40.36666666666667,0.0133333333333333,12.333333333333334,0.4923333333333333,0.0313333333333333,0.079,13.0,0.1013333333333333,0.2733333333333334,12.0,1.1126666666666667,8.333333333333334,0.0666666666666666,0.1066666666666666
pomegranate,1.165384615,carbonated beverage orange,48.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.015,0.06,1.0,0.013,1.0,0.0,0.1
strawberry,0.837,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
melon,1.4105,melon banana navajo,21.0,0.84,0.2,4.06,3.36,0.3,0.0,0.05,0.0,8.1,0.0,0.0,0.46,0.018,0.02,13.0,0.035,0.21,10.0,0.036,9.0,0.4,0.14
clementine,0.4163333333,sherbet orange,144.0,1.1,2.0,30.4,24.32,1.3,12.0,0.023,0.13,2.3,0.01,4.0,0.063,0.097,0.027,54.0,0.028,0.14,8.0,0.011,40.0,1.5,0.48
lemon,0.22,puddings lemon,265.8,1.132,1.4620000000000002,63.56,0.0,0.04,14.0,0.0164,0.122,0.32,0.0,1.6,0.0361999999999999,0.0646,0.0152,41.4,0.0166,0.108,6.0,0.013,234.0,1.2799999999999998,0.148
lime,0.22,puddings lemon,265.8,1.132,1.4620000000000002,63.56,0.0,0.04,14.0,0.0164,0.122,0.32,0.0,1.6,0.0361999999999999,0.0646,0.0152,41.4,0.0166,0.108,6.0,0.013,234.0,1.2799999999999998,0.148
mandarin,0.3951428571,tangerines mandarin oranges,47.25,0.6575,0.1199999999999999,12.1275,10.7975,1.1,46.25,0.05125,0.0,28.65,0.1375,7.75,0.42775,0.035,0.07025,16.75,0.04,0.265,10.5,0.02575,12.75,0.325,0.3375
orange,0.3546129032,sherbet orange,144.0,1.1,2.0,30.4,24.32,1.3,12.0,0.023,0.13,2.3,0.01,4.0,0.063,0.097,0.027,54.0,0.028,0.14,8.0,0.011,40.0,1.5,0.48
apple,0.3128958142,strudel apple,274.0,3.3,11.2,41.1,25.75,2.2,6.0,0.046,0.22,1.7,1.42,44.0,0.33,0.025,0.04,15.0,0.03,0.42,9.0,0.19,33.0,6.1,0.19
apricot,0.3591428571,jams and preserves apricot,242.0,0.7,0.2,64.4,43.4,0.3,10.0,0.02,0.0,8.8,0.13,1.0,0.036,0.022,0.0,20.0,0.1,0.49,4.0,0.04,3.0,2.0,0.06
avocado,0.5435,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
banana,0.3814222222,puddings banana,242.25,1.3775000000000002,2.44,54.93375,23.03125,0.075,21.75,0.01625,0.15625,0.1875,0.015,2.0,0.03775,0.07175,0.0175,57.25,0.018875,0.0674999999999999,8.0,0.008,274.625,1.7500000000000002,0.2
carob,1.1035,baking chocolate mexican,426.0,3.64,15.59,77.41,69.4,4.0,0.0,0.034,0.0,0.1,0.36,5.0,1.829,0.105,0.057,34.0,0.67,2.18,95.0,0.449,142.0,1.8,1.26
cherry,0.4874285714,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
fig,0.3073333333,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
guava,0.279,cranberry orange relish canned,178.0,0.3,0.1,46.2,0.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.1,0.02,0.03,11.0,0.04,0.2,4.0,0.0,8.0,0.0,0.0
kiwi,0.6537333333,melons honeydew,36.0,0.54,0.14,9.09,8.12,0.8,3.0,0.088,0.0,18.0,0.02,19.0,0.418,0.012,0.038,6.0,0.024,0.17,10.0,0.027,11.0,0.7,0.09
mango,0.3253333333,mango nectar canned,51.0,0.11,0.06,13.12,12.45,0.3,35.0,0.015,0.0,15.2,0.21,7.0,0.08,0.003,0.003,17.0,0.015,0.36,3.0,0.028,2.0,0.4,0.02
melon,0.559865,melon banana navajo,21.0,0.84,0.2,4.06,3.36,0.3,0.0,0.05,0.0,8.1,0.0,0.0,0.46,0.018,0.02,13.0,0.035,0.21,10.0,0.036,9.0,0.4,0.14
peach,0.4265833333,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
pear,0.2861041667,croissants apple,254.0,7.4,8.7,37.1,0.0,2.5,94.0,0.032,0.2,0.5,0.0,88.0,1.6,0.164,0.232,30.0,0.04,1.1,13.0,0.21,58.0,19.0,1.03
pineapple,0.3380233667,pineapple raw,48.66666666666666,0.54,0.12,12.813333333333333,9.486666666666666,0.9333333333333332,3.0,0.1106666666666666,0.0,40.36666666666667,0.0133333333333333,12.333333333333334,0.4923333333333333,0.0313333333333333,0.079,13.0,0.1013333333333333,0.2733333333333334,12.0,1.1126666666666667,8.333333333333334,0.0666666666666666,0.1066666666666666
plum,0.2706666667,apricot nectar canned,56.0,0.37,0.09,14.39,13.515,0.6,66.0,0.022,0.0,9.1,0.155,1.0,0.26,0.014,0.009,7.0,0.073,0.38,5.0,0.032,9.0,0.1,0.09
pomegranate,0.4486666667,carbonated beverage orange,48.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.015,0.06,1.0,0.013,1.0,0.0,0.1
rockmelon,0.39,melons honeydew,36.0,0.54,0.14,9.09,8.12,0.8,3.0,0.088,0.0,18.0,0.02,19.0,0.418,0.012,0.038,6.0,0.024,0.17,10.0,0.027,11.0,0.7,0.09
watermelon,0.52,melons honeydew,36.0,0.54,0.14,9.09,8.12,0.8,3.0,0.088,0.0,18.0,0.02,19.0,0.418,0.012,0.038,6.0,0.024,0.17,10.0,0.027,11.0,0.7,0.09
olives,0.5864055556,olives pickled,145.0,1.03,15.32,3.84,0.54,3.3,20.0,0.031,0.0,0.0,3.81,3.0,0.237,0.007,0.021,52.0,0.12,0.49,11.0,0.0,4.0,0.9,0.04
blackberry,0.421,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
blueberry,0.638995,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
cranberry,0.9,cranberry orange relish canned,178.0,0.3,0.1,46.2,0.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.1,0.02,0.03,11.0,0.04,0.2,4.0,0.0,8.0,0.0,0.0
currant,0.6385,jams and preserves apricot,242.0,0.7,0.2,64.4,43.4,0.3,10.0,0.02,0.0,8.8,0.13,1.0,0.036,0.022,0.0,20.0,0.1,0.49,4.0,0.04,3.0,2.0,0.06
gooseberry,0.84,carambola starfruit,31.0,1.04,0.33,6.73,3.98,2.8,3.0,0.017,0.0,34.4,0.15,12.0,0.367,0.016,0.014,3.0,0.137,0.08,10.0,0.037,12.0,0.6,0.12
raspberry,0.632,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
strawberry,0.675212119,guavas strawberry,69.0,0.58,0.6,17.36,0.0,5.4,5.0,0.0,0.0,37.0,0.0,0.0,0.6,0.03,0.03,21.0,0.0,0.22,17.0,0.0,27.0,0.0,0.0
barley,0.5329705882,barley hulled,354.0,12.48,2.3,73.48,0.8,17.3,1.0,0.318,0.0,0.0,0.57,19.0,4.604,0.285,0.646,33.0,0.498,3.6,133.0,1.943,264.0,37.7,2.77
maize,0.7932857143,wheat sprouted,198.0,7.49,1.27,42.53,0.0,1.1,0.0,0.265,0.0,2.6,0.0,38.0,3.087,0.155,0.225,28.0,0.261,2.14,82.0,1.858,200.0,42.5,1.65
millet,0.855,barley hulled,354.0,12.48,2.3,73.48,0.8,17.3,1.0,0.318,0.0,0.0,0.57,19.0,4.604,0.285,0.646,33.0,0.498,3.6,133.0,1.943,264.0,37.7,2.77
oat,0.7006,oat bran raw,246.0,17.3,7.03,66.22,1.45,15.4,0.0,0.165,0.0,0.0,1.01,52.0,0.934,0.22,1.17,58.0,0.403,5.41,235.0,5.63,734.0,45.2,3.11
quinoa,0.9640333333,barley hulled,354.0,12.48,2.3,73.48,0.8,17.3,1.0,0.318,0.0,0.0,0.57,19.0,4.604,0.285,0.646,33.0,0.498,3.6,133.0,1.943,264.0,37.7,2.77
rye,0.41,crackers rye,398.6666666666667,9.266666666666666,10.8,71.66666666666667,0.3366666666666666,15.8,8.0,0.179,0.04,0.1999999999999999,0.2666666666666666,74.66666666666667,2.5416666666666665,0.3353333333333333,0.4516666666666666,102.0,0.3506666666666667,3.81,88.0,2.790666666666666,326.6666666666667,25.7,2.0166666666666666
sorghum,0.88,syrups sorghum,290.0,0.0,0.0,74.9,74.9,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.1,0.155,0.1,150.0,0.13,3.8,100.0,1.53,56.0,1.7,0.41
wheat,0.6712295455,wheat sprouted,198.0,7.49,1.27,42.53,0.0,1.1,0.0,0.265,0.0,2.6,0.0,38.0,3.087,0.155,0.225,28.0,0.261,2.14,82.0,1.858,200.0,42.5,1.65
bean,0.6742857143,stew pinto bean and hominy,32.0,1.42,0.54,5.38,0.0,1.5,0.0,0.036,0.0,0.0,0.04,0.0,0.097,0.0,0.0,7.0,0.036,0.37,11.0,0.059,25.0,2.2,0.18
chickpea,0.6733333333,oat bran raw,246.0,17.3,7.03,66.22,1.45,15.4,0.0,0.165,0.0,0.0,1.01,52.0,0.934,0.22,1.17,58.0,0.403,5.41,235.0,5.63,734.0,45.2,3.11
green bean fresh,0.7324271134,kiwifruit green,61.0,1.14,0.52,14.66,8.99,3.0,4.0,0.063,0.0,92.7,1.46,25.0,0.341,0.025,0.027,34.0,0.13,0.31,17.0,0.098,34.0,0.2,0.14
lentil,1.03,stew pinto bean and hominy,32.0,1.42,0.54,5.38,0.0,1.5,0.0,0.036,0.0,0.0,0.04,0.0,0.097,0.0,0.0,7.0,0.036,0.37,11.0,0.059,25.0,2.2,0.18
pea,0.58075,broccoli flower clusters,28.0,2.98,0.35,5.24,0.0,0.0,150.0,0.159,0.0,93.2,0.0,71.0,0.638,0.119,0.065,48.0,0.045,0.88,25.0,0.229,66.0,3.0,0.4
soybean,0.604106,candies sesame crunch,516.0,11.6,33.3,50.3,31.17,7.7,0.0,0.491,0.0,0.0,0.16,51.0,3.703,0.159,0.444,639.0,0.95,4.27,251.0,1.609,412.0,4.0,3.76
green bean fresh,0.30525,kiwifruit green,61.0,1.14,0.52,14.66,8.99,3.0,4.0,0.063,0.0,92.7,1.46,25.0,0.341,0.025,0.027,34.0,0.13,0.31,17.0,0.098,34.0,0.2,0.14
mushroom,1.775150017,soup mushroom barley,45.5,1.135,1.365,7.199999999999999,0.0,0.15,6.0,0.105,0.0,0.0,0.0,3.5,0.53,0.053,0.015,7.5,0.13,0.305,5.5,0.075,37.5,0.0,0.3
almond,1.902,beverages almond milk,44.0,0.525,1.145,7.985,7.5,0.4,63.0,0.0045,1.25,2.2,2.81,1.0,0.089,0.177,0.0185,188.0,0.042,0.415,9.5,0.058,13.5,0.15,0.63
cashew nut,1.556281515,frostings coconut nut,433.0,1.5,24.0,52.7,40.0,2.5,0.0,0.047,0.0,0.2,1.09,2.0,0.212,0.019,0.035,13.0,0.125,0.54,19.0,0.673,63.0,2.5,0.41
chestnut,0.6366666667,lima beans thin seeded baby,195.66666666666663,12.233333333333334,0.5633333333333334,36.48333333333333,2.773333333333333,12.0,0.0,0.161,0.0,0.0,0.2333333333333333,233.3333333333333,1.0106666666666666,0.1093333333333333,0.2986666666666667,46.333333333333336,0.365,3.6633333333333336,98.0,0.952,208.0,5.6000000000000005,1.5533333333333337
hazelnut,1.0674,candies almond joy candy bar,479.0,4.13,26.93,59.51,48.34,5.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1.27,0.0,0.0,112.0,0.0,0.0
mixed nuts,0.47,nuts mixed nuts,605.75,17.9525,53.38625,22.92375,3.3550000000000004,7.1375,0.375,0.295625,0.0,0.4875,6.285,57.625,4.806875,0.285125,0.2915,104.125,1.3185,3.19375,239.25,1.903875,446.125,83.72500000000001,3.94625
palm nut,0.8,danish pastry nut includes almond,430.0,7.1,25.2,45.7,25.87,2.0,9.0,0.104,0.21,1.7,0.82,122.0,2.3,0.24,0.22,94.0,0.195,1.8,32.0,0.845,110.0,14.2,0.87
peanut,0.8853333333,sugars maple,354.0,0.1,0.2,90.9,84.87,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.04,0.013,0.009,90.0,0.099,1.61,19.0,4.422,3.0,0.8,6.06
pistachio,1.6025,nuts pine nuts,651.0,12.63,64.675,16.19,1.795,7.199999999999999,1.0,0.1025,0.0,1.4,4.665,46.0,4.3785,0.225,0.8035000000000001,12.0,1.1795,4.295,242.5,6.5675,305.0,0.35,5.365
walnut,1.748666667,melon banana navajo,21.0,0.84,0.2,4.06,3.36,0.3,0.0,0.05,0.0,8.1,0.0,0.0,0.46,0.018,0.02,13.0,0.035,0.21,10.0,0.036,9.0,0.4,0.14
rice,2.53557214092141,puddings rice,179.0,3.1175,1.675,37.77,2.8975,0.3,23.5,0.0335,0.1575,0.675,0.0175,3.25,0.7785,0.1185,0.106,79.25,0.03075,0.66,10.5,0.12325,73.25,1.85,0.375
sunflower seed,1.1595,spices poppy seed,525.0,17.99,41.56,28.13,2.99,19.5,0.0,0.247,0.0,1.0,1.77,82.0,0.896,0.1,0.854,1438.0,1.627,9.76,347.0,6.707,870.0,13.5,7.9
chili,0.8,fast foods chili con carne,101.0,9.73,3.27,8.67,0.0,0.0,33.0,0.13,0.45,0.6,0.0,22.0,0.98,0.45,0.05,27.0,0.235,2.05,18.0,0.157,78.0,17.4,1.41
ginger,0.88,spices ginger,335.0,8.98,4.24,71.62,3.39,14.1,2.0,0.626,0.0,0.7,0.0,13.0,9.62,0.17,0.046,114.0,0.48,19.8,214.0,33.3,168.0,55.8,3.64
potato,0.2462097798599999,fast foods potato,162.42857142857142,4.042857142857143,7.880000000000001,20.95142857142857,0.1142857142857143,0.7285714285714285,57.85714285714285,0.2445714285714286,0.0671428571428571,8.085714285714287,0.2985714285714285,14.142857142857142,1.4134285714285717,0.062,0.085,68.85714285714286,0.1735714285714285,0.9642857142857144,24.142857142857142,0.184,99.57142857142856,1.6714285714285717,0.5628571428571428
starchy roots,0.29,beets raw,43.0,1.61,0.17,9.56,6.76,2.8,2.0,0.067,0.0,4.9,0.04,109.0,0.334,0.04,0.031,16.0,0.075,0.8,23.0,0.329,40.0,0.7,0.35
sweet potato,0.35,sweet potato raw,86.0,1.57,0.05,20.12,4.18,3.0,709.0,0.209,0.0,2.4,0.26,11.0,0.557,0.061,0.078,30.0,0.151,0.61,25.0,0.258,47.0,0.6,0.3
cucumber,2.587644531,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
lettuce,2.694285714,lettuce cos or romaine,17.0,1.23,0.3,3.29,1.19,2.1,436.0,0.074,0.0,4.0,0.13,136.0,0.313,0.067,0.072,33.0,0.048,0.97,14.0,0.155,30.0,0.4,0.23
pepper,4.6,spices paprika,282.0,14.14,12.89,53.99,10.34,34.9,2463.0,2.141,0.0,0.9,29.1,49.0,10.06,1.23,0.33,229.0,0.713,21.14,178.0,1.59,314.0,6.3,4.33
tomato,2.885058419,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
