,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
173,BAKING CHOC,MARS SNACKFOOD US,1.5,502.0,4.78,23.36,1.78,68.4,2.7,62.54,116.0,1.23,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.466,0.0,0.0,15.0,14.0,0.0,0.0
174,BAKING CHOC,MEXICAN,1.59,426.0,3.64,15.59,1.34,77.41,4.0,69.4,34.0,2.18,95.0,142.0,397.0,3.0,1.26,0.67,0.449,1.8,0.1,0.057,0.105,1.829,0.18,0.034,5.0,0.0,5.0,5.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.36,0.0,0.0,2.2,8.606,5.044,1.162,0.0,20.0,0.0,0.0
175,BAKING CHOC,UNSWTND,0.9,472.0,12.1,47.7,3.1,36.2,18.1,0.0,54.0,4.15,265.0,340.0,1166.0,12.0,3.68,1.91,1.65,7.9,0.0,0.05,0.279,2.1,0.154,0.072,19.0,0.0,19.0,19.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.29,9.23,10.7,0.0,28.35,0.0,0.0
176,BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,88.87666666666667,32.0,4.166666666666667,0.3633333333333333,1.2166666666666668,5.376666666666666,1.2666666666666666,0.6933333333333334,56.0,1.36,91.0,84.33333333333333,604.0,91.0,0.3,0.20099999999999998,0.536,0.9,66.39999999999999,0.15833333333333333,0.30866666666666664,1.0333333333333334,0.061,0.7743333333333333,101.33333333333333,0.0,101.33333333333333,101.33333333333333,14.0,0.0,2188.6666666666665,109.66666666666667,0.0,0.0,966.6666666666666,0.0,0.0,1758.6666666666667,0.9666666666666667,0.0,0.0,108.73333333333333,0.010666666666666666,0.0016666666666666668,0.02766666666666667,0.0,40.0,8.0,20.666666666666668
177,BALSAM-PEAR (BITTER GOURD),PODS,93.97666666666667,18.333333333333332,0.8933333333333332,0.17666666666666667,0.84,4.113333333333333,2.2666666666666666,1.3,12.333333333333334,0.39666666666666667,16.333333333333332,34.333333333333336,311.3333333333333,84.33333333333333,0.7799999999999999,0.03333333333333333,0.08700000000000001,0.20000000000000004,50.0,0.04733333333333333,0.048666666666666664,0.32,0.19933333333333333,0.041666666666666664,58.0,0.0,58.0,58.0,7.2,0.0,232.33333333333334,12.0,0.0,61.666666666666664,108.66666666666667,0.0,0.0,938.6666666666666,0.09333333333333334,0.0,0.0,3.1999999999999997,0.004666666666666667,0.011000000000000001,0.026,0.0,113.66666666666667,62.0,5.666666666666667
178,BAMBOO SHOOTS,CKD,95.92,11.5,1.53,0.22,0.61,1.72,1.0,0.0,12.0,0.24,3.0,20.0,533.0,122.0,0.47,0.082,0.113,0.4,0.0,0.02,0.05,0.3,0.066,0.098,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.005,0.098,0.0,120.0,144.0,0.0
179,BAMBOO SHOOTS,CND,94.32,19.0,1.72,0.4,0.34,3.22,1.4,1.89,8.0,0.32,4.0,25.0,80.0,7.0,0.65,0.114,0.157,0.5,1.1,0.026,0.026,0.14,0.092,0.136,3.0,0.0,3.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.092,0.009,0.178,0.0,131.0,262.0,0.0
180,BAMBOO SHOOTS,RAW,91.0,27.0,2.6,0.3,0.9,5.2,2.2,3.0,13.0,0.5,3.0,59.0,533.0,4.0,1.1,0.19,0.262,0.8,4.0,0.15,0.07,0.6,0.161,0.24,7.0,0.0,7.0,7.0,0.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.069,0.007,0.134,0.0,151.0,76.0,71.0
181,BANANA CHIPS,0,4.3,519.0,2.3,33.6,1.4,58.4,7.7,35.34,18.0,1.25,76.0,56.0,536.0,6.0,0.75,0.205,1.56,1.5,6.3,0.085,0.017,0.71,0.62,0.26,14.0,0.0,14.0,14.0,21.3,0.0,83.0,4.0,0.0,32.0,34.0,0.0,0.0,46.0,0.24,0.0,0.0,1.3,28.97,1.95,0.63,0.0,28.35,85.0,0.0
182,BANANAS,DEHYD,3.0,346.0,3.89,1.81,3.02,88.28,9.9,47.3,22.0,1.15,108.0,74.0,1491.0,3.0,0.61,0.391,0.574,3.9,7.0,0.18,0.24,2.8,0.0,0.44,14.0,0.0,14.0,14.0,19.6,0.0,248.0,12.0,0.0,96.0,101.0,0.0,0.0,84.0,0.39,0.0,0.0,2.0,0.698,0.153,0.337,0.0,100.0,6.2,0.0
183,BANANAS,RAW,74.91,89.0,1.09,0.33,0.82,22.84,2.6,12.23,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,0.27,1.0,8.7,0.031,0.073,0.665,0.334,0.367,20.0,0.0,20.0,20.0,9.8,0.0,64.0,3.0,0.0,25.0,26.0,0.0,0.0,22.0,0.1,0.0,0.0,0.5,0.112,0.032,0.073,0.0,225.0,150.0,36.0
184,BANQUET,SALISBURY STEAK W/ GRAVY,73.47,155.0,6.89,11.1,1.58,6.96,1.0,0.28,51.0,0.98,17.0,135.0,142.0,517.0,0.73,0.084,0.173,7.7,0.0,0.062,0.12,1.38,0.0,0.14,13.0,0.0,13.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4.282,5.158,1.656,36.0,72.0,0.0,0.0
185,BARBARA DEE,WNTR MINTS COOKIES,2.0,515.0,3.9,26.0,0.0,67.1,2.0,35.8,0.0,2.6,20.0,48.0,65.0,290.0,0.2,0.0,0.0,0.0,0.0,0.26,0.17,2.3,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.7,3.8,0.0,31.0,0.0,0.0
186,BARBECUE LOAF,PORK,64.82,173.0,15.84,8.9,4.04,6.4,0.0,0.0,55.0,1.16,17.0,132.0,329.0,1334.0,2.46,0.07,0.04,21.3,0.0,0.36,0.248,2.266,1.57,0.26,9.0,0.0,9.0,9.0,0.0,1.68,68.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,36.0,0.0,3.17,4.14,0.81,37.0,28.35,23.0,0.0
187,BARLEY,HULLED,9.44,354.0,12.48,2.3,2.29,73.48,17.3,0.8,33.0,3.6,133.0,264.0,452.0,12.0,2.77,0.498,1.943,37.7,0.0,0.646,0.285,4.604,0.282,0.318,19.0,0.0,19.0,19.0,0.0,0.0,22.0,1.0,0.0,0.0,13.0,0.0,0.0,160.0,0.57,0.0,0.0,2.2,0.482,0.295,1.108,0.0,184.0,0.0,0.0
188,BARLEY,PEARLED,39.445,237.5,6.085,0.7999999999999999,0.6900000000000001,52.97,9.7,0.54,20.0,1.915,50.5,137.5,186.5,6.0,1.4749999999999999,0.2625,0.7905,23.150000000000002,0.0,0.137,0.088,3.3335,0.2085,0.1875,19.5,0.0,19.5,19.5,25.599999999999998,0.0,14.5,0.5,0.0,0.0,9.0,0.0,0.0,108.0,0.015,0.0,0.0,1.5,0.16849999999999998,0.103,0.387,0.0,178.5,0.0,0.0
189,BARLEY FLOUR OR MEAL,0,12.11,345.0,10.5,1.6,1.28,74.52,10.1,0.8,32.0,2.68,96.0,296.0,309.0,4.0,2.0,0.343,1.034,37.7,0.0,0.37,0.114,6.269,0.145,0.396,8.0,0.0,8.0,8.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.57,0.0,0.0,2.2,0.335,0.205,0.771,0.0,148.0,0.0,0.0
190,BARLEY MALT FLR,0,8.21,361.0,10.28,1.84,1.37,78.3,7.1,0.8,37.0,4.71,97.0,303.0,224.0,11.0,2.06,0.27,1.193,37.7,0.6,0.309,0.308,5.636,0.577,0.655,38.0,0.0,38.0,38.0,0.0,0.0,19.0,1.0,0.0,0.0,11.0,0.0,0.0,160.0,0.57,0.0,0.0,2.2,0.386,0.254,0.953,0.0,162.0,0.0,0.0
191,BASIL,FRESH,92.06,23.0,3.15,0.64,1.49,2.65,1.6,0.3,177.0,3.17,64.0,56.0,295.0,4.0,0.81,0.385,1.148,0.3,18.0,0.034,0.076,0.902,0.209,0.155,68.0,0.0,68.0,68.0,11.4,0.0,5275.0,264.0,0.0,0.0,3142.0,46.0,0.0,5650.0,0.8,0.0,0.0,414.8,0.041,0.088,0.389,0.0,2.5,5.3,36.0
192,BASS,FRESHWATER,68.79,146.0,24.18,4.73,1.95,0.0,0.0,0.0,103.0,1.91,38.0,256.0,456.0,90.0,0.83,0.119,1.14,16.2,2.1,0.087,0.09,1.522,0.865,0.138,17.0,0.0,17.0,17.0,0.0,2.31,115.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,1.835,1.36,87.0,62.0,85.0,0.0
193,BASS,FRSH H2O,75.66,114.0,18.86,3.69,1.52,0.0,0.0,0.0,80.0,1.49,30.0,200.0,356.0,70.0,0.65,0.093,0.889,12.6,2.0,0.075,0.074,1.25,0.75,0.12,15.0,0.0,15.0,15.0,0.0,2.0,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.431,1.062,68.0,79.0,85.0,0.0
194,BASS,STRIPED,76.28999999999999,110.5,20.23,2.66,1.185,0.0,0.0,0.0,17.0,0.96,45.5,226.0,292.0,78.5,0.455,0.035500000000000004,0.017,41.65,0.0,0.10750000000000001,0.0335,2.3289999999999997,0.8075,0.32299999999999995,9.5,0.0,9.5,9.5,0.0,4.115,97.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785,0.753,0.8945,91.5,104.5,122.0,0.0
195,BEANS,ADZUKI,46.650000000000006,205.5,9.6775,0.19,1.625,41.8625,6.824999999999999,0.0,36.0,2.5275,65.5,197.75,609.25,118.75,2.535,0.48875,0.845,2.175,0.0,0.1965,0.101,1.17375,0.67725,0.15675,242.75,0.0,242.75,242.75,0.0,0.0,8.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.017750000000000002,0.04025,0.0,238.25,0.0,0.0
196,BEANS,BAKED,65.17,155.0,5.54,5.15,2.51,21.63,5.5,0.0,61.0,1.99,43.0,109.0,358.0,422.0,0.73,0.159,0.255,5.7,1.1,0.136,0.049,0.408,0.155,0.09,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.948,2.133,0.74,5.0,253.0,0.0,0.0
197,BEANS,BKD,71.67285714285714,109.57142857142857,5.362857142857143,2.022857142857143,1.7742857142857142,19.168571428571425,4.3428571428571425,5.167142857142857,46.42857142857143,1.592857142857143,30.0,96.42857142857143,272.85714285714283,355.85714285714283,2.028571428571429,0.20900000000000002,0.3077142857142857,5.685714285714286,1.7428571428571427,0.07057142857142856,0.04271428571428571,0.5634285714285714,0.1682857142857143,0.07528571428571429,24.0,0.0,24.0,24.0,22.67142857142857,0.04857142857142858,87.85714285714286,4.285714285714286,0.0,0.0,34.285714285714285,0.2857142857142857,260.7142857142857,9.714285714285714,0.08571428571428572,0.0,0.0,0.5,0.7608571428571428,0.7881428571428574,0.2985714285714286,7.0,254.28571428571428,0.0,0.0
198,BEANS,BLACK,54.535000000000004,174.0,11.3375,0.6975,1.8475000000000001,31.5825,9.95,0.7475,53.0,2.78,86.5,185.0,625.25,95.25,1.6075,0.36275,0.54525,1.725,0.675,0.382,0.10775,0.89625,0.39175,0.11975,200.75,0.0,200.75,200.75,38.7,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425,0.0,0.0,3.6249999999999996,0.17975000000000002,0.0605,0.29925,0.0,194.5,3.025,0.0
199,BEANS,BLACK TURTLE,54.53,172.5,10.91,0.47250000000000003,1.9625,32.125,9.75,0.7475,76.25,4.074999999999999,73.25,213.0,668.5,158.75,1.065,0.4325,0.47175,1.725,0.675,0.37250000000000005,0.10625,0.90725,0.40075,0.12375,169.25,0.0,169.25,169.25,22.1,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425,0.0,0.0,3.6249999999999996,0.12125,0.040749999999999995,0.2025,0.0,198.5,0.0,0.0
200,BEANS,CHILI,75.5,97.0,5.0,1.0,1.6,16.9,4.2,5.25,31.0,1.86,45.0,154.0,450.0,725.0,2.0,0.252,0.0,1.3,1.7,0.04,0.15,0.36,0.0,0.27,26.0,0.0,26.0,26.0,36.3,0.01,12.0,1.0,0.0,0.0,7.0,0.0,297.0,13.0,0.21,0.0,0.0,0.4,0.145,0.077,0.555,0.0,253.0,0.0,0.0
201,BEANS,CRANBERRY (ROMAN),54.8125,172.5,11.8125,0.6075,1.7475,31.0225,12.05,0.0,65.25,2.6825,72.0,182.0,591.5,144.0,1.6875,0.34950000000000003,0.46499999999999997,4.6,0.2,0.3015,0.0975,0.74725,0.34299999999999997,0.1315,273.75,0.0,273.75,273.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565,0.052500000000000005,0.26125,0.0,202.25,0.0,0.0
202,BEANS,FAVA,72.6,88.0,7.92,0.73,1.12,17.63,7.5,9.21,37.0,1.55,33.0,129.0,332.0,25.0,1.0,0.402,0.661,0.8,3.7,0.133,0.29,2.249,0.225,0.104,148.0,0.0,148.0,148.0,0.0,0.0,333.0,17.0,0.0,0.0,196.0,9.0,0.0,1811.0,1.16,0.0,0.0,40.9,0.118,0.104,0.342,0.0,126.0,6.1,3.0
203,BEANS,FRENCH,47.97,200.33333333333334,10.969999999999999,1.18,2.5066666666666664,37.38333333333333,14.666666666666666,0.0,104.0,1.8533333333333335,100.0,169.33333333333334,685.3333333333334,88.66666666666667,1.0599999999999998,0.22333333333333336,0.6546666666666666,5.1000000000000005,2.3333333333333335,0.265,0.11499999999999999,1.0583333333333333,0.41100000000000003,0.20366666666666666,183.0,0.0,183.0,183.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.08066666666666666,0.7043333333333334,0.0,179.33333333333334,0.0,0.0
204,BEANS,GREAT NORTHERN,57.69599999999999,160.6,10.652000000000001,0.5640000000000001,1.7739999999999998,29.318,8.8,1.016,83.4,2.5740000000000003,78.2,209.8,574.2,160.2,1.074,0.3302,0.655,5.859999999999999,2.1,0.251,0.095,0.8478000000000001,0.4372,0.1786,169.6,0.0,169.6,169.6,11.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,2.4,0.1752,0.0262,0.2346,0.0,212.2,0.0,0.0
205,BEANS,KIDNEY,61.149000000000015,145.85,10.6675,0.5035,1.725,25.957000000000004,9.005,0.748,57.65,3.2369999999999997,57.3,170.0,533.4,119.65,1.1494999999999997,0.3646000000000001,0.46720000000000006,1.44,7.035000000000001,0.23464999999999997,0.11975000000000002,1.2038,0.32015000000000005,0.15505,134.0,0.0,134.0,134.0,14.819999999999999,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,3.5549999999999997,0.09389999999999998,0.0641,0.24445,0.0,176.4,24.31,0.0
206,BEANS,LIQ FROM STWD KIDNEY BNS,91.5,47.0,1.8,3.2,0.7,2.8,0.1,0.0,13.0,1.96,37.0,88.0,408.0,2.0,0.49,0.098,0.0,0.5,0.0,0.1,0.09,0.39,0.0,0.03,33.0,0.0,33.0,33.0,13.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.174,1.536,0.34,4.0,240.0,0.0,0.0
207,BEANS,MUNG,96.1,12.0,1.4,0.06,0.3,2.14,0.8,0.7,14.0,0.43,9.0,32.0,27.0,42.0,0.28,0.157,0.073,0.6,0.3,0.03,0.07,0.22,0.143,0.032,10.0,0.0,10.0,10.0,7.8,0.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.04,0.0,0.0,13.4,0.016,0.008,0.02,0.0,125.0,0.0,0.0
208,BEANS,NAVY,63.05142857142857,136.14285714285714,9.515714285714285,0.7842857142857144,1.4557142857142857,25.195714285714285,5.9142857142857155,0.7000000000000001,54.142857142857146,2.6014285714285714,93.0,162.14285714285714,456.0,122.14285714285714,1.33,0.3708571428571429,0.5924285714285714,3.4857142857142867,7.985714285714287,0.36314285714285716,0.148,1.1027142857142858,0.5687142857142857,0.19914285714285712,150.0,0.0,150.0,150.0,29.1,0.0,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11714285714285715,0.0,0.0,0.9428571428571428,0.09899999999999999,0.07514285714285715,0.4358571428571429,0.0,134.0,0.0,0.0
209,BEANS,PINK,44.153333333333336,213.66666666666666,13.026666666666666,0.7033333333333333,2.1133333333333333,40.00333333333333,7.766666666666666,0.9533333333333335,78.0,3.7899999999999996,104.0,248.33333333333334,826.6666666666666,82.66666666666667,1.49,0.4506666666666667,0.824,5.266666666666667,0.0,0.4286666666666667,0.106,1.0106666666666666,0.5316666666666666,0.29233333333333333,266.3333333333333,0.0,266.3333333333333,266.3333333333333,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7233333333333333,0.0,0.0,4.366666666666667,0.18133333333333335,0.06066666666666667,0.30233333333333334,0.0,182.66666666666666,0.0,0.0
210,BEANS,PINTO,67.23923076923077,125.07692307692308,7.696923076923076,0.6553846153846155,1.3507692307692307,23.060000000000006,4.976923076923077,0.41307692307692306,50.84615384615385,2.0384615384615383,50.84615384615385,119.76923076923077,452.0,161.6153846153846,0.7346153846153846,0.22938461538461535,0.42976923076923074,3.853846153846154,3.523076923076923,0.19669230769230775,0.07961538461538462,0.6595384615384614,0.2696153846153846,0.15561538461538463,96.61538461538461,0.0,96.61538461538461,96.61538461538461,11.007692307692308,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24538461538461534,0.0,0.0,1.2923076923076922,0.09546153846153846,0.08238461538461538,0.24961538461538466,0.0,134.07692307692307,155.12307692307692,0.0
211,BEANS,SHELLIE,90.69,30.0,1.76,0.19,1.17,6.19,3.4,0.63,29.0,0.99,15.0,30.0,109.0,334.0,0.27,0.08,0.382,2.1,3.1,0.032,0.054,0.205,0.133,0.049,18.0,0.0,18.0,18.0,13.2,0.0,228.0,11.0,0.0,0.0,137.0,0.0,0.0,331.0,0.03,0.0,0.0,8.0,0.023,0.014,0.11,0.0,245.0,0.0,0.0
212,BEANS,SML WHITE,46.06333333333333,206.66666666666666,13.016666666666666,0.82,2.143333333333333,37.95666666666667,15.233333333333334,0.0,106.33333333333333,4.47,106.33333333333333,261.0,822.6666666666666,84.0,1.6633333333333333,0.311,0.766,5.133333333333334,0.0,0.40499999999999997,0.10833333333333332,0.6286666666666667,0.41033333333333327,0.231,220.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.07133333333333333,0.35300000000000004,0.0,191.0,0.0,0.0
213,BEANS,SNAP,91.7317391304348,27.130434782608695,1.4552173913043478,0.22652173913043475,0.73,5.856521739130434,2.48695652173913,1.9604347826086959,38.52173913043478,0.882173913043478,19.130434782608695,28.608695652173914,160.65217391304347,103.52173913043478,0.2791304347826088,0.061217391304347814,0.28200000000000003,0.365217391304348,6.9173913043478255,0.049,0.07582608695652174,0.4162608695652174,0.11513043478260868,0.05434782608695654,25.956521739130434,0.0,25.956521739130434,23.391304347826086,9.917391304347829,0.0,305.6521739130435,15.130434782608695,0.0,44.608695652173914,134.34782608695653,3.9130434782608696,0.0,448.4347826086956,0.19608695652173913,0.0,0.0,35.87391304347827,0.04534782608695654,0.008086956521739134,0.10013043478260873,0.0,131.17391304347825,135.0,1.0434782608695652
214,BEANS,WHITE,51.894999999999996,181.25,12.52,0.45999999999999996,2.2125000000000004,32.9125,8.149999999999999,0.77,123.25,5.2075,91.75,154.5,842.75,151.0,1.8875,0.4475,0.89575,4.25,0.0,0.19224999999999998,0.06875,0.218,0.34375,0.14475,153.75,0.0,153.75,153.75,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,3.875,0.11875,0.040249999999999994,0.19774999999999998,0.0,205.5,5.949999999999999,0.0
215,BEANS,YEL,45.68666666666667,211.0,13.44,1.5866666666666667,2.1999999999999997,37.086666666666666,15.300000000000002,0.22666666666666668,96.66666666666667,3.9899999999999998,123.33333333333333,284.6666666666667,564.0,86.0,1.6500000000000001,0.337,0.7320000000000001,5.133333333333334,1.2,0.3546666666666667,0.17866666666666667,1.282,0.3973333333333333,0.2333333333333333,183.66666666666666,0.0,183.66666666666666,183.66666666666666,23.46666666666667,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6266666666666666,0.0,0.0,2.3333333333333335,0.4096666666666667,0.138,0.6833333333333335,0.0,183.33333333333334,0.0,0.0
216,BEAR,BLACK,71.2,155.0,20.1,8.3,0.4,0.0,0.0,0.0,0.0,7.2,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.68,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,BEAR,POLAR,70.3,130.0,25.6,3.1,1.0,0.0,0.0,0.0,17.0,6.1,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.023,0.573,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2.0,0.46,0.0,0.0,0.0,0.0
218,BEAR NAKED,DOUBLE CHOC COOKIES,7.5,423.0,6.6,16.9,0.0,66.9,7.0,35.2,0.0,3.7,54.0,88.0,471.0,200.0,0.8,0.0,0.0,0.0,0.0,0.07,0.04,0.3,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0,0.0,4.1,8.4,4.2,0.0,30.0,0.0,0.0
219,BEAR NAKED,FRUIT & NUT COOKIES,8.0,443.0,7.5,21.4,0.0,61.6,7.1,29.4,0.0,2.1,37.0,86.0,278.0,133.0,0.6,0.0,0.0,0.0,0.0,0.09,0.09,0.5,0.0,0.06,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.1,8.5,7.3,0.0,30.0,0.0,0.0
220,BEECHNUTS,DRIED,6.6,576.0,6.2,50.0,3.7,33.5,0.0,0.0,1.0,2.46,0.0,0.0,1017.0,38.0,0.36,0.67,1.341,0.0,15.5,0.304,0.371,0.877,0.925,0.684,113.0,0.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.719,21.892,20.089,0.0,28.35,0.0,39.0
221,BEEF, CHUCK,55.94,250.0,28.84,14.95,0.9,0.0,0.0,0.0,14.0,3.19,23.0,200.0,264.0,75.0,11.95,0.113,0.015,33.3,0.0,0.1,0.257,3.467,0.8,0.291,7.0,0.0,7.0,7.0,95.9,4.06,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,6.0,1.6,4.22,9.78,0.81,102.0,85.0,272.0,27.0
222,BEEF, VAR MEATS&BY-PRODUCTS,62.01,175.0,26.52,4.68,1.63,5.16,0.0,0.0,6.0,6.17,22.0,485.0,351.0,77.0,5.23,14.588,0.356,32.8,0.7,0.177,3.425,17.475,6.943,1.027,260.0,0.0,260.0,260.0,418.2,83.13,26088.0,7744.0,7728.0,11.0,182.0,21.0,0.0,0.0,0.46,1.2,49.0,3.9,2.53,1.106,1.021,381.0,82.0,0.0,0.0
223,BEEF,AU,63.05,227.0,19.105,16.6,0.9650000000000001,0.29,0.0,0.0,4.0,2.285,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9465,7.5465,0.6385000000000001,67.0,114.0,162.5,0.0
224,BEEF,AUS,63.11869565217391,231.2173913043478,19.116521739130437,17.140434782608693,0.9043478260869565,0.10521739130434782,0.0,0.0,4.260869565217392,1.9517391304347829,0.0,0.0,0.0,60.69565217391305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956521739130435,2.347826086956522,2.347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57104347826087,8.287304347826087,0.596,59.30434782608695,110.27608695652174,345.7826086956522,8.956521739130435
225,BEEF,AUST,27.805,616.5,5.77,65.685,0.28500000000000003,0.485,0.0,0.0,3.0,0.89,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.775,33.354,2.0015,95.0,28.175,0.0,0.0
226,BEEF,AUSTRALIAN,39.849999999999994,483.0,10.945,48.635000000000005,0.475,0.36250000000000004,0.0,0.0,4.25,1.135,0.0,0.0,0.0,39.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.90975,21.87075,1.4585,73.25,49.675,0.0,0.0
227,BEEF,BOLOGNA,54.8,310.0,11.7,28.4,3.1,2.0,0.0,0.0,12.0,1.4,10.0,82.0,155.0,682.0,2.0,0.03,0.0,11.7,0.0,0.06,0.13,2.63,0.0,0.18,5.0,0.0,5.0,5.0,44.3,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.7,28.0,0.3,11.676,13.299,1.051,56.0,138.0,28.0,0.0
