Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
stew soup caribou alaska native,0.62,41,3.8,0.7,4.8,0,0.1,0,0.06,0,1.5,0,0,0.27,0.01,0.02,7,0.03,0.2,5,0.08,12,0,0.1
tea herbal,0.109,2,0.12,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.007,0.03,0,0.004,0,0,0.05
tennis bread plain apache,1.45,258,9,1.05,53.26,3.01,2.6,0,0.059,0,0,0.07,252,3.41,0.291,0.69,67,0.03,3.4,28,0.48,160,15.5,0.53
tortilla blue corn,1.77,276,7.83,1.4,58.12,2.97,3.4,0,0.111,0,0,0.17,0,3.93,0.17,0.387,174,0.126,2.89,32,0.604,339,8.8,0.68
willow leaves in oil alaska native,2.741769912,592,2.6,61,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,58,0,0
willow young leaves,1.43,122,6.1,1.6,20.7,0,0,0,0,0,190,0,0,2.3,0,0,130,0,2.6,0,0,126,0,0
child formula mead johnson,4.8,285.5,9.915,13.24,31.685,30.7,0,666,0.587,1.735,22.8,5.9,75.5,5.872,0.528,0.444,264,0.444,5.275,58.5,0,198,0,2.64
infant formula mead johnson,3.43,257.2,5.593,13.619,28.433,28.438,0,231.5,0.1584,0.776,31.43,2.849,68.1,2.6171,0.366,0.2146,204.3,0.1956,4.637,20.5,7.7289,114.4,7.22,2.583
infant formula mead johnson,2.98,246.9565217,6.290217391,12.71934783,26.83434783,26.36108696,0,241.2826087,0.156695652,0.729347826,30.38478261,3.227826087,70.34782609,2.739608696,0.286891304,0.199130435,277.4565217,0.192369565,4.189130435,23.23913043,0.036130435,185.4347826,6.865217391,2.649782609
infant formula nestle,2.71,206.3571429,5.023571429,10.04928571,23.955,17.81857143,0,178.5,0.135214286,0.572857143,21.46428571,3.015,54.35714286,2.415642857,0.243071429,0.157214286,200.1428571,0.187071429,3.542142857,19,0,122.0714286,4.564285714,1.768571429
toddler formula mead johnson,1.685,282.5,7.39,15.265,31.59,30.09,0,257,0.1705,0.865,26.6,2.685,78.5,2.992,0.423,0.2775,366.5,0.2505,5.185,22.5,0,254.5,7.95,2.59
artificial blueberry muffin mix dry,1.15,407,4.7,8.7,77.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear naked double chocolate cookies,1.84,423,6.6,16.9,66.9,35.2,7,0,0,0,0,0,0,0.3,0.04,0.07,0,0,3.7,54,0,88,0,0.8
bear naked fruit and nut cookies,3.837506911,443,7.5,21.4,61.6,29.4,7.1,0,0.06,0,0,0.9,0,0.5,0.09,0.09,0,0,2.1,37,0,86,0,0.6
bagel wheat,2.3159,250,10.2,1.53,48.89,6.12,4.1,0,0.147,0,0,0.32,108,3.37,0.209,0.403,20,0.175,2.76,51,1.43,142,28.7,1.1
biscuits mixed grain,2.8975,263,6.1,5.6,47.4,0,0,0,0.065,0,0,0,133,3.4,0.21,0.39,17,0.115,2.75,30,0.659,236,0,0.6
biscuits plain or buttermilk,2.303482143,331.75,7.05625,11.2075,50.5925,6.0275,1.7625,3.75,0.0485,0.10875,0.1375,0.3675,118.25,3.449875,0.304875,0.426375,96.375,0.09775,2.66125,19,0.36725,428.75,13.7875,0.49875
bread multi grain,0.99412,288,14.52,4.6,47.11,6.94,8.1,0,0.286,0,0.1,0.4,70,4.394,0.142,0.243,111,0.307,2.72,85,2.201,247,35.8,1.85
bread multi grain includes whole grain,1.241734167,265,13.36,4.23,43.34,6.39,7.4,0,0.263,0,0.1,0.37,75,4.042,0.131,0.279,103,0.282,2.5,78,2.025,228,32.9,1.7
bread banana,2.713,326,4.3,10.5,54.6,0,1.1,106,0.15,0.1,1.7,0,48,1.446,0.2,0.172,21,0.072,1.4,14,0.209,58,12.1,0.35
bread boston brown,2.717,195,5.2,1.5,43.3,2.42,4.7,25,0.082,0.01,0,0.32,14,1.12,0.115,0.014,70,0.08,2.1,63,1.02,112,21.9,0.5
bread chapati or roti,0.885492222,298,9.55,8.325,46.245,2.825,7.3,0,0.275,0,0,0.715,22.5,5.695,0.19,0.5,64.5,0.2405,2.605,59,1.499,171,40.15,1.555
bread cheese,0.66633,408,10.42,20.83,44.83,2.08,2.1,24,0.048,0.24,0,1.49,159,3.279,0.303,0.433,90,0.086,2.49,17,0.366,120,19.8,0.96
bread cornbread,2.230607143,358,6.8225,10.27,59.24,9.0975,3.825,15,0.1135,0.14,0.15,0.1675,91.25,2.13425,0.19025,0.2385,124.5,0.0735,1.86,22.5,0.2425,384.5,6.1,0.6025
