FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
agave cooked southwest,135.0,0.99,0.29,32.0,20.87,10.6,6.0,0.087,0.0,0.3,0.36,3.0,0.162,0.099,0.012,460.0,0.112,3.55,39.0,0.142,9.0,0.2,0.25
agave dried southwest,341.0,1.71,0.69,81.98,50.7,15.6,1.0,0.216,0.0,0.3,0.76,7.0,0.87,0.644,0.021,770.0,0.189,3.64,207.0,0.337,37.0,0.6,12.1
agave raw southwest,68.0,0.52,0.15,16.23,2.58,6.6,2.0,0.055,0.0,4.0,0.23,7.0,0.162,0.039,0.029,417.0,0.138,1.8,55.0,0.094,7.0,0.4,0.15
agutuk fish with shortening alaskan ice cream alaska native,470.0,9.0,43.5,10.5,0.0,0.0,34.0,0.0,0.0,0.0,4.0,0.0,1.43,0.06,0.06,0.0,0.03,0.2,16.0,0.0,134.0,0.0,0.47
agutuk fish berry with seal oil alaskan ice cream alaska native,353.0,3.4,31.8,13.4,0.0,0.5,0.0,0.01,0.0,2.9,2.36,0.0,0.55,0.05,0.04,8.0,0.03,0.3,7.0,0.13,46.0,0.0,0.18
agutuk meat caribou alaskan ice cream alaska native,258.0,21.7,18.6,0.9,0.0,0.0,0.0,0.23,4.83,2.2,0.0,0.0,4.26,0.66,0.18,16.0,0.19,4.55,20.0,0.06,170.0,0.0,3.83
bear black,155.0,20.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.68,0.16,0.0,0.0,7.2,0.0,0.0,162.0,0.0,0.0
bear polar,130.0,25.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.573,0.023,17.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0
blackberries wild,52.0,0.84,1.07,9.84,3.65,3.2,5.0,0.039,0.0,4.7,0.91,11.0,0.314,0.144,0.06,5.0,0.222,0.21,4.0,0.287,11.0,0.0,0.15
blueberries wild,52.5,0.96,0.38,11.355,3.23,1.3,3.0,0.013,0.0,10.25,0.845,16.5,0.4985,0.257,0.0485,14.0,0.015,0.7350000000000001,3.5,1.0,14.5,0.0,0.1
