,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
148,DRIED FRUIT,-,raisin,5,0.658,0.81,0.2017324961,0.36,0.84,0.03,0.47,0.81,0.3065843406,-0.4885944,1.364615,0.0839,Y,G,G,ITEM
149,FRUIT HEATED GREENHOUSE,-,exotic fruit,1,2.43,2.43,-,2.43,2.43,-,2.43,2.43,-,-,-,n.a.,R,G,R,TYPOLOGY
150,FRUIT HEATED GREENHOUSE,-,raspberry,2,7.35,7.35,0.05,7.3,7.4,0.05,7.325,7.375,0.006802721088,-,-,-,R,G,R,TYPOLOGY
151,FRUIT HEATED GREENHOUSE,-,strawberry,4,2.943543814,2.884587629,1.768623743,0.835,5.17,1.6475,1.438131443,4.39,0.6008484515,0.0503042,1.257483,0.53938,Y,G,G,ITEM
152,FRUIT IMPORTED,-,avocado,4,0.9975,1.09,0.3787066807,0.43,1.38,0.25,0.7675,1.32,0.3796558202,-0.463725,1.624899,0.48556,Y,G,G,ITEM
153,FRUIT IMPORTED,-,banana,20,0.81292,0.8175,0.2848342564,0.42,1.37,0.265,0.5175,1.045,0.350384117,0.2082068,1.884777,0.26008,G,G,G,ITEM
154,FRUIT IMPORTED,-,coconut,1,1.78,1.78,-,1.78,1.78,-,1.78,1.78,-,-,-,n.a.,R,R,R,TYPOLOGY
155,FRUIT IMPORTED,-,exotic fruit,1,2.43,2.43,-,2.43,2.43,-,2.43,2.43,-,-,-,n.a.,R,R,R,TYPOLOGY
156,FRUIT IMPORTED,-,pineapple,7,0.7309220779,0.5454545455,0.5014880818,0.171,1.78,0.1454545455,0.425,0.885,0.6861033439,1.083864,3.035225,0.2129,Y,G,G,ITEM
157,FRUIT IMPORTED,-,pomegranate,1,1.165384615,1.165384615,-,1.165384615,1.165384615,-,1.165384615,1.165384615,-,-,-,n.a.,R,G,R,TYPOLOGY
158,FRUIT IMPORTED,-,strawberry,2,0.837,0.837,0.287,0.55,1.124,0.287,0.6935,0.9805,0.3428912784,-,-,-,R,G,R,TYPOLOGY
159,FRUIT NOT HEATED GREENHOUSE* (melon),-,melon,4,1.4105,1.4285,0.1093309197,1.24,1.545,0.059,1.38025,1.45875,0.07751217277,-0.4804328,2.051641,0.55589,Y,G,G,ITEM
160,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),clementine,3,0.4163333333,0.409,0.07366742081,0.33,0.51,0.079,0.3695,0.4595,0.1769433646,0.1483332,,0.86546,R,G,R,TYPOLOGY
161,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),lemon,2,0.22,0.22,0.04,0.18,0.26,0.04,0.2,0.24,0.1818181818,-,-,-,R,G,R,TYPOLOGY
162,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),lime,2,0.22,0.22,0.04,0.18,0.26,0.04,0.2,0.24,0.1818181818,-,-,-,R,G,R,TYPOLOGY
163,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),mandarin,7,0.3951428571,0.446,0.1060652475,0.223,0.51,0.064,0.3085,0.485,0.2684225353,-0.3840171,1.586335,0.59848,Y,G,G,ITEM
164,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),orange,31,0.3546129032,0.3,0.155143155,0.18,0.87,0.07,0.2455,0.418,0.4375000277,1.59429,5.370552,0.00024,G,G,R,ITEM
165,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),pomelo,1,0.51,0.51,-,0.51,0.51,-,0.51,0.51,-,-,-,n.a.,R,G,R,TYPOLOGY
166,FRUIT OPENFIELD,CITRUS FRUIT (SUB-TYP),tangerin,2,0.384545,0.384545,0.125455,0.25909,0.51,0.125455,0.3218175,0.4472725,0.3262427024,-,-,-,R,G,R,TYPOLOGY
167,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",apple,59,0.3128958142,0.2539,0.1690730975,0.06,0.95,0.0661,0.2,0.378,0.5403495025,1.831041,6.817934,0,G,G,R,ITEM
168,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",apricot,7,0.3591428571,0.296,0.1219360823,0.234,0.562,0.062,0.258,0.453,0.33951972,0.368394,1.643215,0.39201,Y,G,G,ITEM
169,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",avocado,4,0.5435,0.5405,0.219158048,0.253,0.84,0.1935,0.394,0.69,0.4032346789,0.0325937,1.630689,0.96672,Y,G,G,ITEM
170,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",banana,9,0.3814222222,0.34,0.1761041976,0.1476,0.781,0.13,0.318,0.47,0.4617040835,0.9245614,3.474507,0.28277,G,G,G,ITEM
171,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",carob,2,1.1035,1.1035,0.0085,1.095,1.112,0.0085,1.09925,1.10775,0.007702763933,-,-,-,R,R,R,TYPOLOGY
172,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",cherry,7,0.4874285714,0.458,0.1852001675,0.26,0.88,0.092,0.385,0.522,0.3799534503,0.994269,3.306595,0.27409,Y,G,G,ITEM
173,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",fig,3,0.3073333333,0.258,0.08729006562,0.234,0.43,0.024,0.246,0.344,0.2840240747,0.6672276,,0.2148,R,G,R,TYPOLOGY
174,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",grapes,15,0.391,0.31,0.2151380952,0.15,0.881,0.1,0.272,0.415,0.5502253074,1.352016,3.816332,0.00498,G,G,R,ITEM
175,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",guava,1,0.279,0.279,-,0.279,0.279,-,0.279,0.279,-,-,-,n.a.,R,G,R,TYPOLOGY
176,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",kiwi,12,0.6537333333,0.4944,0.4199589451,0.27,1.613,0.2139,0.3295,0.84325,0.642400997,1.082024,3.225103,0.04626,G,G,Y,ITEM
177,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",mango,6,0.3253333333,0.309,0.06568020165,0.253,0.441,0.0475,0.2725,0.362,0.2018858657,0.5868078,2.005868,0.48459,Y,G,G,ITEM
178,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",melon,6,0.559865,0.612545,0.1946756314,0.3,0.76,0.612545,0.3687725,0.743075,0.3477188811,-0.2871355,1.32404,0.11065,Y,G,G,ITEM
179,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",peach,12,0.4265833333,0.385,0.1891249403,0.234,0.83,0.0645,0.29025,0.43,0.4433481703,1.280637,3.395744,0.00582,G,G,R,ITEM
180,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",pear,12,0.2861041667,0.274,0.1180256619,0.15875,0.63,0.05,0.2125,0.3125,0.4125268892,1.843189,6.221552,0.00634,G,G,R,ITEM
181,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",pineapple,6,0.3380233667,0.28,0.1520384723,0.23,0.673,0.0294299,0.25735515,0.3065,0.4497868707,1.672713,3.994434,0.00243,Y,G,R,ITEM or TYPOLOGY
182,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",plum,3,0.2706666667,0.258,0.03623380864,0.234,0.32,0.024,0.246,0.289,0.1338687511,0.481651,,0.52296,R,G,R,TYPOLOGY
183,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",pomegranate,3,0.4486666667,0.32,0.206470875,0.286,0.74,0.034,0.303,0.53,0.4601876857,0.692753,,0.12846,R,G,R,TYPOLOGY
184,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",rockmelon,1,0.39,0.39,-,0.39,0.39,-,0.39,0.39,-,-,-,n.a.,R,G,R,TYPOLOGY
185,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUB-TYP)",watermelon,1,0.52,0.52,-,0.52,0.52,-,0.52,0.52,-,-,-,n.a.,R,G,R,TYPOLOGY
186,FRUIT OPENFIELD,OLIVES* (SUB-TYP),olives,9,0.5864055556,0.636,0.2012089412,0.22,0.847,0.046,0.607,0.682,0.3431225017,-0.8538515,2.478395,0.05946,G,G,G,ITEM
187,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),blackberry,1,0.421,0.421,-,0.421,0.421,-,0.421,0.421,-,-,-,n.a.,R,G,R,TYPOLOGY
188,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),blueberry,8,0.638995,0.775,0.2881553577,0.18796,0.97,0.145,0.3885,0.8625,0.4509508802,-0.5130052,1.60908,0.11646,Y,G,G,ITEM
189,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),cranberry,3,0.9,0.87,0.04966554809,0.86,0.97,0.01,0.865,0.92,0.05518394232,0.6856676,,0.15714,R,G,R,TYPOLOGY
190,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),currant,2,0.6385,0.6385,0.2015,0.437,0.84,0.2015,0.53775,0.73925,0.3155833986,-,-,-,R,G,R,TYPOLOGY
191,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),gooseberry,1,0.84,0.84,-,0.84,0.84,-,0.84,0.84,-,-,-,n.a.,R,G,R,TYPOLOGY
192,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),raspberry,2,0.632,0.632,0.208,0.424,0.84,0.208,0.528,0.736,0.3291139241,-,-,-,R,G,R,TYPOLOGY
193,FRUIT OPENFIELD,WILD BERRIES (SUB-TYP),strawberry,27,0.675212119,0.61,0.3282155357,0.1950819672,1.5,0.26,0.39,0.903,0.4860924834,0.5671505,2.823542,0.22048,G,G,G,ITEM
194,GRAINS,-,barley,17,0.5329705882,0.48,0.2511032405,0.114,1.106,0.14,0.34,0.62,0.4711390197,0.7605992,2.991769,0.21937,G,G,G,ITEM
195,GRAINS,-,maize,7,0.7932857143,0.48,0.5047366256,0.398,1.64,0.082,0.43,1.0875,0.6362608282,0.8875642,1.899051,0.00738,Y,G,R,ITEM or TYPOLOGY
196,GRAINS,-,millet,2,0.855,0.855,0.385,0.47,1.24,0.385,0.6625,1.0475,0.4502923977,-,-,-,R,G,R,TYPOLOGY
197,GRAINS,-,oat,5,0.7006,0.67,0.2649555434,0.38,1.103,0.21,0.47,0.88,0.3781837617,0.2762221,1.649635,0.78488,Y,G,G,ITEM
198,GRAINS,-,quinoa,12,0.9640333333,0.974,0.1859957317,0.534,1.2,0.159,0.8645,1.132,0.1929349591,-0.7496271,2.90537,0.26679,G,G,G,ITEM
199,GRAINS,-,rye,3,0.41,0.38,0.05715476066,0.36,0.49,0.02,0.37,0.435,0.1394018553,0.6427234,,0.27376,R,G,R,TYPOLOGY
200,GRAINS,-,sorghum,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
201,GRAINS,-,wheat,44,0.6712295455,0.5715,0.4333261655,0.18,3.082,0.1765,0.43825,0.7725,0.6455707566,3.872749,21.96722,0,G,G,R,ITEM
202,LEGUMES,-,bean,14,0.6742857143,0.433,0.4810386721,0.216,1.55,0.205,0.25725,1.09,0.7134048104,0.7304526,1.887611,0.00735,G,G,R,ITEM
203,LEGUMES,-,chickpea,3,0.6733333333,0.77,0.1583947249,0.45,0.8,0.03,0.61,0.785,0.2352396905,-0.68813,,0.14779,R,G,R,TYPOLOGY
204,LEGUMES,-,cowpea,4,0.4775,0.485,0.1094017824,0.33,0.61,0.095,0.3975,0.565,0.2291136805,-0.1320973,1.431257,0.7606,Y,G,G,ITEM
205,LEGUMES,-,green bean fresh,11,0.7324271134,0.515,0.5066516578,0.19899,1.55,0.273,0.2925,1.144854124,0.6917434494,0.2907631,1.638261,0.22403,G,G,G,ITEM
206,LEGUMES,-,lentil,2,1.03,1.03,0.03,1.0,1.06,0.03,1.015,1.045,0.02912621359,-,-,-,R,G,R,TYPOLOGY
207,LEGUMES,-,pea,12,0.58075,0.446,0.6284214516,0.15,2.6,0.11,0.27,0.495,1.082086012,2.691131,8.927979,5e-05,G,G,R,ITEM
208,LEGUMES,-,soybean,5,0.604106,0.5602,0.21789310990483393,0.38,1.0096,0.10020000000000001,0.46,0.61073,0.3606868826080753,1.012201,2.661173,0.27244,Y,G,G,ITEM
209,LEGUMES NOT HEATED GREENHOUSE (green bean),-,green bean fresh,4,0.30525,0.2755,0.07657798313,0.241,0.429,0.034,0.24175,0.339,0.2508697236,0.7665351,1.94516,0.19472,Y,G,G,ITEM
210,MUSHROOM*,,mushroom,6,1.775150017,2.062835052,1.089419538,0.2,3.09,0.8621649485,0.8203400258,2.6375,0.613705618,-0.3552241,1.538277,0.393,Y,G,G,ITEM
211,NUTS,-,almond,13,1.902,1.88,0.9432480708,0.51,3.71,0.73,1.112,2.61,0.4959243274,0.2477233,2.112747,0.83537,G,G,G,ITEM
212,NUTS,-,cashew nut,11,1.556281515,1.382,0.9196128018,0.3515,3.441,0.842,0.857455,2.245333333,0.5909038904,0.4557442,2.353029,0.58015,G,G,G,ITEM
213,NUTS,-,chestnut,3,0.6366666667,0.44,0.2852289529,0.43,1.04,0.01,0.435,0.74,0.4480035909,0.706455,,0.02729,R,G,R,TYPOLOGY
214,NUTS,-,hazelnut,5,1.0674,1.112,0.350358445,0.43,1.5,0.088,1.095,1.2,0.3282353804,-0.8164414,2.659954,0.32693,Y,G,G,ITEM
215,NUTS,-,mixed nuts,1,0.47,0.47,-,0.47,0.47,-,0.47,0.47,-,-,-,n.a.,R,G,R,TYPOLOGY
216,NUTS,-,palm nut,1,0.8,0.8,-,0.8,0.8,-,0.8,0.8,-,-,-,n.a.,R,G,R,TYPOLOGY
217,NUTS,-,peanut,10,0.8853333333,0.8305,0.3010831557,0.279,1.35,0.115,0.7995,1.045,0.3400788657,-0.1370786,2.766971,0.374,G,G,G,ITEM
218,NUTS,-,pistachio,4,1.6025,1.6,0.6521263298,0.88,2.33,0.645,0.9925,2.21,0.4069431075,0.0027141,1.055754,0.16038,Y,G,G,ITEM
219,NUTS,-,walnut,5,1.748666667,2.06,0.8803903175,0.63,3.03,0.97,0.89,2.133333333,0.5034637729,0.0462487,1.610132,0.57493,Y,G,G,ITEM
220,RICE*,-,rice,35,2.53557214092141,2.188780487804878,1.4436770361686828,0.24444444444444446,6.45,0.7381195121951221,1.645,3.08,0.5693693399092405,0.9528329,3.631732,0.01574,G,G,Y,ITEM
221,SEEDS,-,rape seed,3,1.054,0.782,0.7595998947,0.29,2.09,0.492,0.536,1.436,0.720683012,0.4912101,,0.5111,R,G,R,TYPOLOGY
222,SEEDS,-,sesam seed,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
223,SEEDS,-,sunflower seed,2,1.1595,1.1595,0.2505,0.909,1.41,0.2505,1.03425,1.28475,0.2160413972,-,-,-,R,G,R,TYPOLOGY
224,SPICIES,-,chili,1,0.8,0.8,-,0.8,0.8,-,0.8,0.8,-,-,-,n.a.,R,G,R,TYPOLOGY
225,SPICIES,-,ginger,1,0.88,0.88,-,0.88,0.88,-,0.88,0.88,-,-,-,n.a.,R,G,R,TYPOLOGY
226,STARCHY TUBERS,-,potato,35,0.24620977985999995,0.24,0.09661872502949376,0.078,0.45,0.06999999999999998,0.1763,0.32520000000000004,0.39242439956866537,0.0651549,2.24846,0.59682,G,G,G,ITEM
227,STARCHY TUBERS,-,starchy roots,2,0.29,0.29,0.05,0.24,0.34,0.05,0.265,0.315,0.1724137931,-,-,-,R,G,R,TYPOLOGY
228,STARCHY TUBERS,-,sweet potato,3,0.35,0.27,0.1386241922,0.235,0.545,0.035,0.2525,0.4075,0.3960691206,0.67345,,0.19718,R,G,R,TYPOLOGY
229,VEGETABLES HEATED GREENHOUSE,-,cucumber,8,2.587644531,2.54609375,1.021935533,1.3,4.51,0.83809375,1.7245,2.892226563,0.3949288709,0.6253992,2.25812,0.38806,Y,G,G,ITEM
230,VEGETABLES HEATED GREENHOUSE,-,gerkin,4,2.515,2.115,0.7367665845,2.04,3.79,0.04,2.0925,2.5375,0.2929489401,1.148586,2.328803,0.00461,Y,G,R,ITEM or TYPOLOGY
231,VEGETABLES HEATED GREENHOUSE,-,lettuce,7,2.694285714,2.67,1.550844444,0.453,4.73,1.37,1.4,4.1035,0.5756050429,-0.0100653,1.482807,0.5131,Y,G,G,ITEM
232,VEGETABLES HEATED GREENHOUSE,-,pepper,4,4.6,3.725,3.351678684,0.9,10.05,1.45,2.9625,5.3625,0.7286258008,0.72942,2.12144,0.36959,Y,G,G,ITEM
233,VEGETABLES HEATED GREENHOUSE,-,tomato,36,2.885058419,2.425,1.308449263,1.159793814,6.12,0.71,1.9425,3.6625,0.4535260897,0.8683913,2.942967,0.00863,G,G,R,ITEM
234,VEGETABLES NOT HEATED GREENHOUSE,-,cucumber,1,0.32,0.32,-,0.32,0.32,-,0.32,0.32,-,-,-,n.a.,R,G,R,TYPOLOGY
235,VEGETABLES NOT HEATED GREENHOUSE,-,eggplant,1,2.9,2.9,-,2.9,2.9,-,2.9,2.9,-,-,-,n.a.,R,G,R,TYPOLOGY
236,VEGETABLES NOT HEATED GREENHOUSE,-,pepper,2,1.175,1.175,0.075,1.1,1.25,0.075,1.1375,1.2125,0.06382978723,-,-,-,R,G,R,TYPOLOGY
237,VEGETABLES NOT HEATED GREENHOUSE,-,tomato,28,0.9412380952,0.90855,0.5605289875,0.195,2.14,0.44595,0.43925,1.27655,0.5955230567,0.5897799,2.349426,0.06517,G,G,G,ITEM
238,VEGETABLES NOT HEATED GREENHOUSE,-,zucchini,2,1.7714,1.7714,0.1686,1.6028,1.94,0.1686,1.6871,1.8557,0.0951789545,-,-,-,R,G,R,TYPOLOGY
239,VEGETABLES OPENFIELD,ASPARAGUS* (SUB-TYP),asparagus,33,0.9667195402,0.83,0.4849698071,0.38,2.68,0.217,0.6293103448,1.14,0.5016654644,1.50677,5.604864,0.00072,G,G,R,ITEM
240,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),cabagge,9,0.3030111111,0.234,0.1471054694,0.12,0.64,0.114,0.21004,0.37,0.4854787959,1.043202,3.417958,0.15353,G,G,G,ITEM
241,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),lettuce,27,0.3981359259,0.41,0.1467135115,0.13,0.62,0.092,0.304,0.4995,0.3685010619,-0.1938394,1.992845,0.26411,G,G,G,ITEM
242,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),spinach,4,0.4826666667,0.338,0.3228222765,0.18,0.93,0.158,0.259,0.634,0.6688306834,-0.0806969,1.11139,0.17153,Y,G,G,ITEM
243,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),beetroot,2,0.245,0.245,0.135,0.11,0.38,0.135,0.1775,0.3125,0.5510204082,-,-,-,R,G,R,TYPOLOGY
244,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),carrot,16,0.228875,0.235,0.124093148,0.036,0.45,0.1,0.1325,0.325,0.5421874297,0.2236121,1.925177,0.61226,G,G,G,ITEM
245,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),garlic,3,0.674,0.708,0.07499333304,0.57,0.744,0.036,0.639,0.726,0.1112660728,-0.5868705,,0.37672,R,G,R,TYPOLOGY
246,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),onion,12,0.2394833333,0.2223,0.1381497366,0.06,0.522,0.1191,0.13375,0.34115,0.5768657663,0.3960771,2.150914,0.40872,G,G,G,ITEM
247,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),radish,1,0.15379,0.15379,-,0.15379,0.15379,-,0.15379,0.15379,-,-,-,n.a.,R,G,R,TYPOLOGY
248,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),swede,1,0.29,0.29,-,0.29,0.29,-,0.29,0.29,-,-,-,n.a.,R,G,R,TYPOLOGY
249,VEGETABLES OPENFIELD,ROOTS & BULBS (SUB-TYP),turnip,2,0.35,0.35,0,0.35,0.35,0,0.35,0.35,0,-,-,-,R,G,R,TYPOLOGY
250,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",artichoke,1,0.33,0.33,-,0.33,0.33,-,0.33,0.33,-,-,-,n.a.,R,G,R,TYPOLOGY
251,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",broccoli,19,0.6693684211,0.57,0.355259462,0.22,1.87,0.12,0.48,0.7,0.5307383061,2.003211,7.255282,0.00072,G,G,R,ITEM
252,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",cauliflower,6,0.3188,0.3075,0.1334708333,0.0924,0.52,0.0773,0.268425,0.399375,0.4186663528,-0.1850138,2.301351,0.9509,Y,G,G,ITEM
253,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",celery,1,0.32,0.32,-,0.32,0.32,-,0.32,0.32,-,-,-,n.a.,R,G,R,TYPOLOGY
254,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",cucumber,15,0.3153541776,0.27,0.1633975459,0.08,0.804,0.07491803279,0.2217853484,0.378125,0.5181397853,1.561883,5.75996,0.02681,G,G,Y,ITEM
255,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",eggplant,5,0.454584,0.191,0.4443449158,0.095,1.3,0.096,0.18692,0.5,0.9774759249,0.8416572,2.044719,0.26217,Y,G,G,ITEM
256,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",fennel,1,0.48,0.48,-,0.48,0.48,-,0.48,0.48,-,-,-,n.a.,R,G,R,TYPOLOGY
257,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",gerkin,7,0.2285714286,0.21,0.0635674156,0.13,0.33,0.05,0.19,0.275,0.2781074433,0.1135926,1.940646,0.95532,Y,G,G,ITEM
258,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",pepper,8,0.57904,0.6535,0.2309122803,0.18832,0.87,0.2165,0.37,0.71025,0.3987846786,-0.2776511,1.827151,0.62269,Y,G,G,ITEM
259,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",pumpkin,12,0.3846762295,0.2362540984,0.3457140873,0.09,1.31,0.08325409836,0.1645,0.47325,0.8987144532,1.599697,4.54284,0.00251,G,G,R,ITEM
260,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",tomato,68,0.484513725,0.4541,0.2972858109,0.154,2.29,0.1041,0.353515625,0.56140625,0.6135756235,2.324167,14.26455,0,G,G,R,ITEM
261,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",vegetables,4,0.6926075,0.535,0.5275140113,0.18943,1.511,0.305285,0.2498575,0.97775,0.7616348529,0.5901136,1.758644,0.39239,Y,G,G,ITEM
262,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUB-TYP)",zucchini,8,0.6516393443,0.7,0.4188547929,0.09,1.31,0.4102459016,0.2180327869,0.975,0.6427708772,0.0360254,1.625748,0.5393,Y,G,G,ITEM
263,FISH,-,alfonsino,1,3.49,3.49,-,3.49,3.49,-,3.49,3.49,-,-,-,n.a.,R,G,R,TYPOLOGY
264,FISH,-,anchovy,6,0.8144166667,0.82065,0.02866143848,0.7696,0.8551,0.02385,0.794275,0.831425,0.03519259815,-0.2567994,1.863828,0.83297,Y,G,G,ITEM
265,FISH,-,anglerfish,2,12.2922,12.2922,1.8622,10.43,14.1544,1.8622,11.3611,13.2233,0.1514944436,-,-,-,R,G,R,TYPOLOGY
266,FISH,-,carp,3,1.804666667,1.762,0.08627990625,1.727,1.925,0.035,1.7445,1.8435,0.04780933113,0.6208411,,0.31774,R,G,R,TYPOLOGY
267,FISH,-,catfish,1,8.93,8.93,-,8.93,8.93,-,8.93,8.93,-,-,-,n.a.,R,G,R,TYPOLOGY
268,FISH,-,cod,22,3.289318182,3.08,1.359985207,1.25,5.88,1.05,2.265,4.375,0.413455048,0.3914877,1.908219,0.15633,G,G,G,ITEM
269,FISH,-,diamond fish,3,7.560333333,6.017,2.182602931,6.017,10.647,0,6.017,8.332,0.2886913625,0.7071068,,0,R,G,R,TYPOLOGY
270,FISH,-,eel,1,3.88,3.88,-,3.88,3.88,-,3.88,3.88,-,-,-,n.a.,R,G,R,TYPOLOGY
271,FISH,-,fish mixed,6,4.012083333,4.988,2.111764515,0.27,6.218,0.859,2.748375,5.452,0.5263511098,-0.7505734,2.015153,0.23695,Y,G,G,ITEM
272,FISH,-,flatfish,2,6.406,6.406,5.206,1.2,11.612,5.206,3.803,9.009,0.8126756166,-,-,-,R,G,R,TYPOLOGY
273,FISH,-,flathead,3,2.453333333,2.56,0.9013076919,1.3,3.5,0.94,1.93,3.03,0.3673808527,-0.1758623,,0.83999,R,G,R,TYPOLOGY
274,FISH,-,fork beard,2,8.0086,8.0086,1.7586,6.25,9.7672,1.7586,7.1293,8.8879,0.2195889419,-,-,-,R,G,R,TYPOLOGY
275,FISH,-,haddock,3,3.246666667,3.1,0.4370608907,2.8,3.84,0.3,2.95,3.47,0.1346183442,0.4655732,,0.54246,R,G,R,TYPOLOGY
276,FISH,-,hake,6,10.11637778,10.4006,2.523073509,6.876666667,14.1544,2.179,7.8823,11.4675,0.2494048329,0.1293236,1.846158,0.71665,Y,G,G,ITEM
277,FISH,-,herring,6,2.210666667,1.242,1.633968754,0.655,4.55,0.3545,1.1235,3.67875,0.7391294122,0.6555495,1.50774,0.01868,Y,G,Y,ITEM
278,FISH,-,ling,2,6.4486,6.4486,3.3186,3.13,9.7672,3.3186,4.7893,8.1079,0.5146233291,-,-,-,R,G,R,TYPOLOGY
279,FISH,-,mackerel,23,2.054663768,1.8,1.308879985,0.245,5.45,0.6664,1.203433333,2.4332,0.6370287956,1.037784,3.22949,0.0145,G,G,Y,ITEM
280,FISH,-,megrim,1,14.1544,14.1544,-,14.1544,14.1544,-,14.1544,14.1544,-,-,-,n.a.,R,G,R,TYPOLOGY
281,FISH,-,plaice,1,6.13,6.13,-,6.13,6.13,-,6.13,6.13,-,-,-,n.a.,R,G,R,TYPOLOGY
282,FISH,-,pollock,2,1.4,1.4,0.2,1.2,1.6,0.2,1.3,1.5,0.1428571429,-,-,-,R,G,R,TYPOLOGY
283,FISH,-,pomfret,2,6.6286,6.6286,3.1386,3.49,9.7672,3.1386,5.0593,8.1979,0.4734936487,-,-,-,R,G,R,TYPOLOGY
284,FISH,-,porbeagle,1,11.436,11.436,-,11.436,11.436,-,11.436,11.436,-,-,-,n.a.,R,G,R,TYPOLOGY
285,FISH,-,rhombus,1,8.41,8.41,-,8.41,8.41,-,8.41,8.41,-,-,-,n.a.,R,G,R,TYPOLOGY
