,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
34,FRUIT JUICE (imported ingredients),-,strawberry juice,1,2.68,2.68,-,2.68,2.68,-,2.68,2.68,-,-,-,n.a.,R,R,R,TYPOLOGY
35,FRUIT JUICE LOCAL,-,orange juice,13,0.6237565317,0.461,0.461366816,0.241743141,2.0,0.055,0.424,0.516,0.7396584926,2.028465,6.278486,0.00045,G,G,R,ITEM
36,FRUIT JUICE LOCAL,-,pear juice,2,0.49045,0.49045,0.03045,0.46,0.5209,0.03045,0.475225,0.505675,0.06208583954,-,-,-,R,G,R,TYPOLOGY
37,GRAIN FLOUR,-,buckwheat flour,1,1.96,1.96,-,1.96,1.96,-,1.96,1.96,-,-,-,n.a.,R,G,R,TYPOLOGY
38,GRAIN FLOUR,-,durum wheat,4,0.47606,0.46712,0.06366438094,0.4,0.57,0.04699,0.430195,0.512985,0.1337318425,0.3379786,1.720976,0.87623,Y,G,G,ITEM
39,GRAIN FLOUR,-,graham flour,1,0.47,0.47,-,0.47,0.47,-,0.47,0.47,-,-,-,n.a.,R,G,R,TYPOLOGY
40,GRAIN FLOUR,-,maize flour,1,1.31,1.31,-,1.31,1.31,-,1.31,1.31,-,-,-,n.a.,R,G,R,TYPOLOGY
41,GRAIN FLOUR,-,millet flour,1,1.37,1.37,-,1.37,1.37,-,1.37,1.37,-,-,-,n.a.,R,G,R,TYPOLOGY
42,GRAIN FLOUR,-,oat meal,5,1.126,0.87,0.6072429497,0.69,2.32,0.14,0.74,1.01,0.5392921401,1.0769,2.273581,0.0539,Y,G,G,ITEM
43,GRAIN FLOUR,-,sorghum flour,1,1.33,1.33,-,1.33,1.33,-,1.33,1.33,-,-,-,n.a.,R,G,R,TYPOLOGY
44,GRAIN FLOUR,-,wheat plain flour,16,0.612069375,0.52,0.2317036611,0.32725,1.18,0.11,0.47,0.724395,0.3785578409,1.165599,3.532494,0.0319,G,G,Y,ITEM
45,GRAIN FLOUR,-,whole wheat flour,6,0.3756691542,0.3647164179,0.09171701355,0.27,0.51,0.08792537313,0.2910447761,0.44975,0.2441430512,0.1963714,1.396397,0.37579,Y,G,G,ITEM
46,ICE CREAM,-,chocolate,2,6.6,6.6,0.2,6.4,6.8,0.2,6.5,6.7,0.0303030303,-,-,-,R,G,R,TYPOLOGY
47,ICE CREAM,-,ice cream,1,1.02,1.02,-,1.02,1.02,-,1.02,1.02,-,-,-,n.a.,R,G,R,TYPOLOGY
48,ICE CREAM,-,vanilla,2,4.3,4.3,0.1,4.2,4.4,0.1,4.25,4.35,0.02325581395,-,-,-,R,G,R,TYPOLOGY
49,LEGUME FLOUR,-,azuki bean flour,1,1.32,1.32,-,1.32,1.32,-,1.32,1.32,-,-,-,n.a.,R,G,R,TYPOLOGY
50,LEGUME FLOUR,-,mung bean flour,1,1.49,1.49,-,1.49,1.49,-,1.49,1.49,-,-,-,n.a.,R,G,R,TYPOLOGY
