FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
fish salmon,210.46153846153845,27.948461538461533,10.775384615384615,0.3307692307692307,0.0,0.0,27.0,0.1853076923076922,5.6376923076923084,0.0,0.4838461538461539,4.307692307692308,9.03576923076923,0.2679230769230769,0.1111538461538461,43.38461538461539,0.073,1.47,21.384615384615383,0.019,227.3846153846154,26.261538461538464,0.4715384615384616
fish whitefish,163.4,25.12,6.0840000000000005,1.998,0.0,0.0,26.0,0.1048,14.96,2.4,0.668,12.8,2.9712,0.3021999999999999,0.0902,181.8,0.0944,4.568,29.6,0.09,433.0,41.16,1.618
huckleberries raw alaska native,37.0,0.4,0.1,8.7,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.3,0.03,0.01,15.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
moose liver,155.0,24.38,4.89,3.43,0.0,0.0,0.0,0.91,71.0,22.6,0.0,0.0,10.72,4.1,0.196,7.0,2.789,6.77,20.0,0.413,429.0,0.0,6.07
moose meat,103.0,22.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.24,0.07,5.0,0.067,3.28,23.0,0.008,165.0,0.0,2.8
mouse nuts roots alaska native,81.0,3.9,0.1,16.1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.1,0.04,0.01,22.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0
mutton cooked,234.0,33.43,11.09,0.08,0.0,0.0,0.0,0.377,4.44,0.0,0.8,0.0,6.52,0.3,0.06,10.0,0.062,4.76,31.0,0.033,272.0,38.0,5.93
oil spotted seal alaska native,894.0,0.0,99.32,0.0,0.0,0.0,1044.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
oil whale,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb wild,61.0,4.2,0.5,9.9,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0
smelt dried alaska native,386.0,56.19,17.9,0.0,0.0,0.0,139.0,0.176,19.1,0.0,4.51,0.0,5.97,0.262,0.073,1600.0,0.148,5.4,89.0,0.72,1400.0,194.0,6.7
soup fish,72.0,7.4,2.2,5.6,0.0,0.0,0.0,0.01,0.0,0.3,0.0,0.0,2.64,0.02,0.07,35.0,0.0,0.5,1.0,0.01,112.0,0.0,0.0
squash indian,21.0,0.415,0.175,4.43,2.78,0.75,0.0,0.0455,0.0,2.25,0.0,0.0,0.136,0.0175,0.015,4.5,0.0085,0.085,5.0,0.0135,6.0,0.0,0.035
squirrel ground,111.0,19.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,175.0,0.0,0.0
stew moose alaska native,55.0,6.6,0.5,6.0,0.0,0.5,0.0,0.03,0.0,1.0,0.0,0.0,1.5,0.08,0.06,12.0,0.02,1.52,6.0,0.09,16.0,0.0,0.12
stew mutton,103.0,8.62,4.34,7.27,0.61,1.7,0.0,0.108,1.16,0.0,0.37,0.0,2.0,0.11,0.03,38.0,0.063,1.21,21.0,0.087,111.0,8.4,1.87
stew pinto bean and hominy,32.0,1.42,0.54,5.38,0.0,1.5,0.0,0.036,0.0,0.0,0.04,0.0,0.097,0.0,0.0,7.0,0.036,0.37,11.0,0.059,25.0,2.2,0.18
stew soup caribou alaska native,41.0,3.8,0.7,4.8,0.0,0.1,0.0,0.06,0.0,1.5,0.0,0.0,0.27,0.01,0.02,7.0,0.03,0.2,5.0,0.08,12.0,0.0,0.1
tea herbal,2.0,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.007,0.03,0.0,0.004,0.0,0.0,0.05
tennis bread plain apache,258.0,9.0,1.05,53.26,3.01,2.6,0.0,0.059,0.0,0.0,0.07,252.0,3.41,0.291,0.69,67.0,0.03,3.4,28.0,0.48,160.0,15.5,0.53
tortilla blue corn,276.0,7.83,1.4,58.12,2.97,3.4,0.0,0.111,0.0,0.0,0.17,0.0,3.93,0.17,0.387,174.0,0.126,2.89,32.0,0.604,339.0,8.8,0.68
willow leaves in oil alaska native,592.0,2.6,61.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,58.0,0.0,0.0
willow young leaves,122.0,6.1,1.6,20.7,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,2.3,0.0,0.0,130.0,0.0,2.6,0.0,0.0,126.0,0.0,0.0
child formula mead johnson,285.5,9.915,13.24,31.685,30.7,0.0,666.0,0.587,1.735,22.8,5.9,75.5,5.872,0.528,0.444,264.0,0.444,5.275,58.5,0.0,198.0,0.0,2.64
infant formula mead johnson,257.2,5.592999999999999,13.619,28.433,28.438,0.0,231.5,0.1584,0.776,31.43,2.849,68.1,2.6171,0.366,0.2145999999999999,204.3,0.1956,4.6370000000000005,20.5,7.7289,114.4,7.220000000000001,2.583
infant formula mead johnson,246.95652173913044,6.290217391304348,12.71934782608696,26.83434782608697,26.361086956521746,0.0,241.2826086956522,0.156695652173913,0.7293478260869565,30.384782608695648,3.227826086956524,70.34782608695652,2.7396086956521737,0.2868913043478259,0.1991304347826087,277.45652173913044,0.1923695652173913,4.189130434782611,23.23913043478261,0.0361304347826086,185.43478260869568,6.86521739130435,2.649782608695653
infant formula nestle,206.3571428571429,5.0235714285714295,10.049285714285713,23.95499999999999,17.818571428571428,0.0,178.5,0.1352142857142857,0.5728571428571428,21.46428571428571,3.015,54.35714285714285,2.415642857142857,0.2430714285714285,0.1572142857142857,200.14285714285717,0.1870714285714285,3.5421428571428573,19.0,0.0,122.07142857142856,4.564285714285714,1.768571428571429
toddler formula mead johnson,282.5,7.39,15.265,31.59,30.09,0.0,257.0,0.1704999999999999,0.865,26.6,2.685,78.5,2.992,0.423,0.2775,366.5,0.2505,5.1850000000000005,22.5,0.0,254.5,7.95,2.59
artificial blueberry muffin mix dry,407.0,4.7,8.7,77.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear naked double chocolate cookies,423.0,6.6,16.9,66.9,35.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.04,0.07,0.0,0.0,3.7,54.0,0.0,88.0,0.0,0.8
bear naked fruit and nut cookies,443.0,7.5,21.4,61.6,29.4,7.1,0.0,0.06,0.0,0.0,0.9,0.0,0.5,0.09,0.09,0.0,0.0,2.1,37.0,0.0,86.0,0.0,0.6
bagel wheat,250.0,10.2,1.53,48.89,6.12,4.1,0.0,0.147,0.0,0.0,0.32,108.0,3.37,0.209,0.403,20.0,0.175,2.76,51.0,1.43,142.0,28.7,1.1
biscuits mixed grain,263.0,6.1,5.6,47.4,0.0,0.0,0.0,0.065,0.0,0.0,0.0,133.0,3.4,0.21,0.39,17.0,0.115,2.75,30.0,0.659,236.0,0.0,0.6
biscuits plain or buttermilk,331.75,7.05625,11.2075,50.5925,6.0275,1.7624999999999995,3.75,0.0485,0.10875,0.1374999999999999,0.3675,118.25,3.449875,0.304875,0.4263749999999999,96.375,0.0977499999999999,2.66125,19.0,0.3672500000000001,428.75,13.7875,0.49875
bread multi grain,288.0,14.52,4.6,47.11,6.94,8.1,0.0,0.286,0.0,0.1,0.4,70.0,4.394,0.142,0.243,111.0,0.307,2.72,85.0,2.201,247.0,35.8,1.85
bread multi grain includes whole grain,265.0,13.36,4.23,43.34,6.39,7.4,0.0,0.263,0.0,0.1,0.37,75.0,4.042,0.131,0.279,103.0,0.282,2.5,78.0,2.025,228.0,32.9,1.7
bread banana,326.0,4.3,10.5,54.6,0.0,1.1,106.0,0.15,0.1,1.7,0.0,48.0,1.446,0.2,0.172,21.0,0.072,1.4,14.0,0.209,58.0,12.1,0.35
bread boston brown,195.0,5.2,1.5,43.3,2.42,4.7,25.0,0.082,0.01,0.0,0.32,14.0,1.12,0.115,0.014,70.0,0.08,2.1,63.0,1.02,112.0,21.9,0.5
bread chapati or roti,298.0,9.55,8.325,46.245000000000005,2.825,7.3,0.0,0.275,0.0,0.0,0.7150000000000001,22.5,5.695,0.19,0.5,64.5,0.2405,2.605,59.0,1.499,171.0,40.150000000000006,1.5550000000000002
bread cheese,408.0,10.42,20.83,44.83,2.08,2.1,24.0,0.048,0.24,0.0,1.49,159.0,3.279,0.303,0.433,90.0,0.086,2.49,17.0,0.366,120.0,19.8,0.96
bread cornbread,358.0,6.8225,10.27,59.24,9.0975,3.825,15.0,0.1135,0.1399999999999999,0.15,0.1675,91.25,2.13425,0.19025,0.2385,124.5,0.0735,1.86,22.5,0.2425,384.5,6.1,0.6024999999999999
bread cracked wheat,260.0,8.7,3.9,49.5,0.0,5.5,0.0,0.304,0.02,0.0,0.0,76.0,3.671,0.24,0.358,43.0,0.222,2.81,52.0,1.371,153.0,25.3,1.24
bread egg,301.0,10.0,6.3,50.2,1.86,2.4,66.0,0.064,0.105,0.0,0.275,129.0,4.8215,0.434,0.4115,97.5,0.1699999999999999,3.19,20.0,0.5245,111.5,31.5,0.825
bread french or vienna,319.0,13.0,2.14,61.93,3.59,3.1,0.0,0.096,0.0,0.2,0.19,217.0,5.38,0.37,0.427,47.0,0.15,3.87,31.0,0.573,126.0,29.7,1.05
bread french or vienna includes sourdough,272.0,10.75,2.42,51.88,4.62,2.2,0.0,0.107,0.0,0.0,0.21,170.0,4.817,0.427,0.71,52.0,0.152,3.91,32.0,0.577,105.0,28.6,1.04
bread irish soda,290.0,6.6,5.0,56.0,0.0,2.6,48.0,0.083,0.05,0.8,0.0,73.0,2.405,0.269,0.298,81.0,0.13,2.69,23.0,0.355,114.0,16.0,0.57
bread italian,271.0,8.8,3.5,50.0,0.83,2.7,0.0,0.048,0.0,0.0,0.29,304.0,4.381,0.292,0.473,78.0,0.191,2.94,27.0,0.464,103.0,27.2,0.86
bread naan indian bread,288.5,9.91,6.175000000000001,48.32,3.475,3.5,1.0,0.1115,0.0,0.0,1.0550000000000002,8.0,4.71,0.345,0.478,71.5,0.1435,2.49,47.5,0.957,144.0,19.65,1.025
bread oat bran,247.5,10.9,4.6,41.75,8.08,4.7,2.0,0.0564999999999999,0.0,0.0,0.4599999999999999,112.0,4.8045,0.3445,0.4735,68.0,0.1315,3.2750000000000004,34.5,0.7695000000000001,128.5,31.5,0.97
bread oatmeal,280.5,8.8,4.6,50.6,8.49,4.15,5.0,0.0675,0.025,0.15,0.505,81.0,3.1020000000000003,0.2375,0.373,69.0,0.218,2.8200000000000003,39.0,0.981,131.5,25.65,1.065
bread pan dulce,367.0,9.42,11.58,56.38,12.5,2.3,5.0,0.057,0.11,1.2,0.29,155.0,3.463,0.23,0.377,86.0,0.121,2.87,24.0,0.46,94.0,26.2,0.84
bread paratha indian bread,326.0,6.36,13.2,45.35,4.15,9.6,2.0,0.08,0.0,0.0,1.35,10.0,1.83,0.076,0.11,25.0,0.146,1.61,37.0,1.054,120.0,7.1,0.82
bread pita,272.0,9.333333333333334,1.6666666666666667,55.46666666666667,0.7066666666666667,3.9333333333333336,0.0,0.111,0.0,0.0,0.3033333333333333,74.66666666666667,3.2046666666666663,0.168,0.4016666666666666,62.333333333333336,0.2086666666666666,2.36,40.333333333333336,0.9006666666666666,124.66666666666669,23.7,1.0666666666666669
bread potato,266.0,12.5,3.13,47.07,9.38,6.3,24.0,0.232,0.15,0.0,0.47,149.0,1.25,0.106,0.188,188.0,0.094,2.25,28.0,0.253,369.0,9.5,1.44
bread pound cake type,390.0,7.06,17.45,51.29,18.1,1.7,0.0,0.05,0.0,0.0,1.42,0.0,4.7,0.18,0.07,46.0,0.03,2.2,19.0,0.26,300.0,13.5,0.62
bread protein,270.0,13.2,2.4,48.1,1.44,3.3,0.0,0.07,0.0,0.0,0.36,149.0,4.241,0.389,0.317,136.0,0.205,4.56,56.0,0.803,189.0,36.2,1.17
bread protein includes gluten,245.0,12.1,2.2,43.8,1.44,3.0,0.0,0.071,0.0,0.0,0.36,173.0,4.289,0.394,0.36,124.0,0.417,4.15,65.0,1.472,185.0,32.9,1.82
bread pumpernickel,262.5,9.1,3.25,49.85,0.5549999999999999,6.8,0.0,0.125,0.0,0.0,0.44,131.5,3.074,0.303,0.307,71.0,0.301,3.01,57.0,1.3695,186.5,25.7,1.55
bread raisin,281.6666666666667,8.133333333333333,4.533333333333333,53.833333333333336,3.953333333333333,4.433333333333334,0.0,0.0686666666666666,0.0,0.1999999999999999,0.1966666666666666,112.66666666666669,2.7840000000000003,0.3203333333333333,0.27,68.0,0.2036666666666666,2.6266666666666665,26.666666666666668,0.5156666666666667,112.0,13.9,0.7399999999999999
bread reduced calorie,212.83333333333331,9.37,3.1366666666666667,43.51166666666666,3.0800000000000005,9.85,0.0,0.0689999999999999,0.07,0.2,0.22,109.16666666666669,3.462166666666667,0.2281666666666666,0.3611666666666667,95.5,0.1951666666666666,3.0666666666666664,37.0,0.7833333333333333,121.83333333333331,24.683333333333334,1.07
bread rice bran,253.5,9.3,4.8,45.4,4.875,5.1,0.0,0.238,0.0,0.0,0.6799999999999999,121.5,6.736,0.2965,0.6105,72.0,0.183,3.765,78.0,1.553,176.0,29.95,1.345
bread roll,318.0,10.65,5.8,55.77,3.55,2.2,1.0,0.105,0.13,0.2,0.0,176.0,5.585,0.43,0.68,41.0,0.135,3.9,30.0,0.68,111.0,38.8,0.88
bread rye,271.5,8.95,3.45,50.7,4.04,6.1,0.0,0.0745,0.0,0.3,0.35,149.5,3.784,0.3335,0.408,76.5,0.195,2.965,41.5,0.8645,131.5,32.45,1.1949999999999998
bread wheat,272.6666666666667,11.446666666666667,3.22,49.45333333333334,5.776666666666666,5.966666666666666,0.0,0.1146666666666666,0.0,0.1333333333333333,0.27,120.33333333333331,5.441666666666667,0.2966666666666667,0.4546666666666666,327.3333333333333,0.1686666666666666,4.156666666666666,43.333333333333336,1.0626666666666666,146.66666666666666,26.100000000000005,1.2033333333333334
bread wheat bran,248.0,8.8,3.4,47.8,9.68,4.0,0.0,0.176,0.0,0.0,0.32,161.0,4.402,0.287,0.397,74.0,0.221,3.07,81.0,1.668,185.0,31.0,1.35
bread wheat germ,277.0,10.15,3.1,51.3,3.935,2.2,0.0,0.0875,0.07,0.25,0.54,161.0,4.523,0.377,0.3505,94.5,0.203,3.665,33.0,1.052,148.0,28.85,1.22
bread white,279.6666666666667,8.441666666666668,3.8716666666666666,51.836666666666666,2.453333333333333,1.9166666666666667,5.666666666666667,0.0608333333333333,0.0283333333333333,0.0333333333333333,0.1133333333333333,149.16666666666666,3.986666666666667,0.3321666666666666,0.4451666666666667,96.5,0.1216666666666666,3.241666666666667,22.5,0.4395,101.5,20.0,0.6583333333333333
bread whole wheat,285.25,11.579999999999998,4.7175,50.4175,4.5425,6.975,0.0,0.212,0.0,0.0,1.2225,65.25,4.524,0.2257499999999999,0.33475,90.0,0.357,2.9825,86.0,2.16675,226.75,39.85,1.7675
bread crumbs dry,389.0,13.74,5.390000000000001,70.235,5.970000000000001,4.7,5.0,0.146,0.35,1.35,0.17,173.5,6.3975,0.409,0.964,182.5,0.2495,4.875,44.5,0.9515,171.0,24.95,1.44
bread sticks plain,412.0,12.0,9.5,68.4,1.26,3.0,0.0,0.073,0.0,0.0,1.01,255.0,5.281,0.553,0.589,22.0,0.188,4.28,32.0,0.557,121.0,37.5,0.88
