FullName,Word Embedding,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint
limeade frozen concentrate,"[-0.41145597  1.10755793  1.0279345  -1.24445051 -0.11471636  0.0815437
  0.30230233  0.95275044 -0.04463777 -1.45384086 -1.36785426  1.04017386
 -1.07810561 -0.98945553  0.22669697  0.53235506  0.56564848 -0.84871942
 -0.38186886  0.18626342  1.39344982 -0.3468041   0.12860572 -0.69074271
 -1.96366793 -1.23313022  1.15451521  0.81687036  1.05012239  0.00309261
  0.04716533 -1.88347751  1.01264981  0.24269477 -1.22207911  0.6868919
 -2.02577535 -2.10761551  0.86772097 -0.22903245 -0.02964191 -0.16370727
 -0.30943457  1.73121646  0.93339192  0.35100484 -0.5263601   0.43849036
  0.98982231  0.52827971 -0.32501356 -1.04549865  0.25549243 -0.75478934
 -0.29692437 -0.96641626  0.47196389  1.53964486 -0.89307988  1.51993142
 -0.15549805  0.64768926  0.41802405  1.50612082  0.17028513 -0.12872221
  1.42228053 -1.01392376  1.08159404 -0.35105941 -0.08697264  0.22651703
  0.82992699 -0.0103598  -0.32614588  0.25020614  1.35975067  1.6587401
 -0.03776495 -1.21232653  0.41599665 -0.15168774 -1.17957816  1.13549765
 -1.80580821  0.56828486  0.36375436  0.325576    0.06195119  0.15940066
  0.6012218  -0.21058239 -0.79522643  0.64590361  0.20887252 -0.42798615
 -0.85439611  0.51144715  0.13585338 -0.44160446]",52.0,0.0,0.0,13.79,13.27,0.0,0.0,0.004,0.0,3.1,0.0,1.0,0.009,0.003,0.002,2.0,0.016,0.0,2.0,0.001,1.0,0.1,0.01,raspberries frozen,1.175
malt beverage includes non alcoholic beer,"[-0.35505811 -1.09108623 -0.21737305 -0.32332186  0.3565731   0.56362971
  0.21350136  1.50368303 -0.17715863  0.42900431 -0.71278073  0.06484968
 -0.62591815  0.19650711  1.19181835 -0.61073438  0.54202892  0.2680812
  0.60032497  0.21760282  0.87037367 -0.31034737  0.59263336 -0.72899794
  0.50784766 -0.92054398  1.25059909  0.26655203  0.38439083  0.00541809
 -0.1826923   0.17252751  0.55401321 -0.24715208  0.19995916 -0.11130861
  0.67508512 -0.46771668 -1.01064809 -1.45720201 -0.16662934 -0.51097502
 -0.11229075  0.2434794  -0.35201654 -0.01669487 -0.59655213  0.37909592
 -0.75584996  0.36258195 -0.38324812 -0.24861064  1.31804089 -0.1689684
 -0.14050234 -0.43402893 -1.0174274   0.24702207 -0.33900681  0.03797305
  1.04641508 -0.77269015  0.49630214  0.20737027  0.31837788  0.57091361
  1.15472795 -0.02538425 -0.09099552 -0.23865797 -0.06313586 -0.04794107
  0.19764083 -1.02958177 -0.00333189 -0.1559792  -0.68674491  0.31212716
 -0.01580476 -0.15797191 -0.22792317  0.36127696  0.19776287 -0.12485175
 -0.06580155 -0.11517521 -0.14584196 -0.42713985  0.07055642 -0.69681157
  0.43226282  0.9145153   0.50267319 -0.22587723  1.07480227 -0.0386172
  0.14158174 -0.2008723   0.4616655  -0.16505679]",37.0,0.21,0.12,8.05,8.05,0.0,0.0,0.027,0.02,0.5,0.0,14.0,1.113,0.048,0.016,7.0,0.008,0.06,7.0,0.013,16.0,1.2,0.02,beer in glass,1.033266667
malted drink mix chocolate,"[ 1.65412698  0.74542372 -0.7890131  -0.08800812  0.76381474  0.24884518
  1.84454134 -0.82787816 -0.59867206  0.3216442  -0.09324513  1.38964008
 -0.43718603 -1.30894248  1.05337656 -0.13148449  1.55828672 -0.7980001
 -0.13063665 -0.26408935  0.89042705 -1.81639332  1.41382641 -0.86675899
 -0.86317482 -0.43105712  0.33872875  0.4958309   2.51976224 -0.91712462
  0.27280213 -1.9274755   1.1654915  -0.68536992 -1.10153994 -1.44611813
  0.0030062  -0.36554617 -1.06341358 -1.76277364 -0.61890823  0.99433057
  1.67168692  1.17145439 -0.7441357  -0.10582286  0.33059342  0.01731084
  0.27779297  0.94172378  1.18228132 -1.44719908  0.26581702 -0.29791977
 -1.67565539 -1.22913797 -0.65210686  0.30336317 -1.33297862  1.14510827
  0.09242044  0.87347867  0.5529056  -1.31287233  0.1856733  -0.52615864
 -0.51978295 -1.1446129   0.10483225 -0.10133783 -1.29793597 -1.16106034
  1.8888033   0.41593471  2.03179844  0.95117559  0.09046706  0.75387271
 -0.16614307 -0.58273608  0.17037077 -0.78623226 -1.94164389 -1.06469959
  1.01996172 -0.41475818 -2.34845752 -1.31878849 -0.13095124  1.16064848
  2.16965765 -0.24378065 -0.82859515 -1.1676936  -1.01069323  2.14860519
 -1.32536086  0.17845926 -0.48956639 -0.63540554]",194.3333333333333,3.92,3.77,36.443333333333335,27.94666666666667,1.9,138.66666666666666,0.195,0.42,4.533333333333333,0.1,21.33333333333333,2.142,0.2893333333333333,0.1713333333333333,99.0,0.1036666666666666,1.3033333333333332,34.0,0.0446666666666666,125.0,5.3,0.5466666666666666,chocolate,6.6
malted drink mix natural,"[ 0.81496479  0.4090443  -0.15605401  0.84088343  0.48594436  0.00772943
  0.60151531 -0.29743029 -1.04139709  0.54529329 -0.69079777  0.89292179
 -1.20737238 -0.18218351  0.8900648   0.29716864  1.67076807 -0.47911985
 -0.08202912  0.70707276  1.33959137 -0.82560419  1.2315134  -1.162809
 -0.53107547 -0.64790208  0.25278213  0.56434499  1.71591415 -0.59636261
 -0.04154919 -1.19711124  0.13475864  0.21016309 -0.90385583 -0.8209461
 -0.87007464 -0.95950364 -0.700949   -0.85825967  0.49819892  0.16940899
  1.52737933  0.3280098   0.13490499 -0.8073652  -0.81116919  0.31474833
 -0.29448235  0.22545749 -0.15369669 -1.2351081   0.11328215  0.3909245
 -0.85472064 -0.61988768 -1.31705665  0.77493362 -0.5087977   0.9161336
 -0.25792473  0.75058397  0.89562817 -0.6873482   0.35002741 -0.53725307
 -0.13995886  0.57982802  0.0641572   0.2315564  -1.12290541 -0.42595554
  1.28837515  0.4113951   1.7571959   0.4619643   0.10547062  0.3399758
 -0.29744674 -0.95618413  0.38795917  0.16527094 -1.44508956 -0.10698688
  0.40335232  0.09390615 -1.16753951 -0.57775671  0.26653919  0.67635612
  2.05770859  0.24088849 -0.82804913 -0.16871198 -0.45793203  0.07902702
 -0.50417358 -0.43329834  0.38988344 -0.72097093]",200.66666666666663,7.273333333333333,5.45,30.703333333333333,21.85,0.0666666666666666,125.66666666666669,0.2669999999999999,0.5533333333333333,4.5,0.12,20.0,3.252666666666667,0.539,0.2876666666666667,179.33333333333334,0.0936666666666666,0.7166666666666667,41.66666666666666,0.0983333333333333,190.3333333333333,8.6,0.61,yogurt flavoured,2.812144286
meal supplement drink nestle,"[-0.14239551  0.47164618 -0.47535641  0.74769334 -0.35021993  0.50393667
  0.7306252   0.00712735 -0.21206792 -0.13324987 -0.48521115  0.36144526
 -0.83924867  0.45964492  0.69737528 -0.38863102  0.68904564 -0.70188722
 -0.12316528  0.17701341  1.31377509 -0.3488295   0.46448129 -0.73737363
  0.36736036 -1.03318313 -0.00657954 -0.30198261  0.43858511 -1.16713018
  1.32968436  0.32388358  0.13185991 -0.36554282 -0.64405453  0.02181318
 -0.71343883 -0.36638457 -0.76122686  0.01644883 -1.03357314 -0.14136946
  0.40535886  0.16508598  0.60114761 -0.91393704 -1.32536453  0.39631441
  0.04292647 -0.12548174 -0.10628081 -0.71210981 -0.05345734  0.19071392
 -0.43692204 -0.51829    -1.3972731  -0.0681314  -1.36114537  0.02515583
  0.17017811  0.89602193  0.21259935  0.02844998 -0.29536599  0.23274735
 -0.26776039  1.08053182 -0.49903782 -0.79501416 -0.23828064  0.40777818
  1.89345939  0.64415605  0.4175647  -0.11126987  1.03349177  0.98046684
 -0.22060656 -1.24827288  0.70954601 -0.25366463 -0.71303406  0.09671585
  0.2180305  -0.27949201 -0.12961507  0.49885181  0.74200379  0.44970663
  0.49696571 -0.49755543 -0.39149916  0.56954709  0.12221981  0.24453521
 -1.07927227  0.69710734  0.89673297 -0.80761199]",101.0,3.5,3.07,14.74,0.0,0.0,0.0,0.54,0.53,0.7,0.09,0.0,6.6,1.3,0.43,110.0,0.03,2.2,16.0,0.071,110.0,0.0,0.42,oat meal,1.126
orange and apricot juice drink canned,"[ 0.2488021   0.37654739 -0.39308546 -0.88740735  0.23436731 -0.13393264
 -0.59710266  0.64204389 -1.18476368  0.98860801 -0.72893132  0.32545781
 -1.30805298 -0.67210616  1.14441467  0.82500735  2.15705826 -1.63586173
 -0.79188802 -1.26701378  1.90908162 -0.31606704 -0.71755351 -1.34439325
 -0.96969448 -1.06036625  0.21793536  1.05190019  2.01657243 -0.12136745
 -0.17843298 -1.73793463  1.01219702  0.06300186 -0.72069838  0.18129684
 -1.46413235 -1.36249718  0.04460048 -0.2569446   0.78479695 -1.54158994
 -0.179851    1.67051079 -1.05941312  0.26238249 -0.76274275  0.86502625
  0.57217451  0.71673954 -0.60074801 -1.37288917 -0.34238877  0.64914071
 -0.37996073 -1.06038135 -0.21704283  0.23957896 -0.92659096  1.14164682
  0.206207   -0.43578003  0.20522755 -0.46899209  0.57295305  0.40791455
  0.55812303 -0.820947   -0.36168791  0.15395205 -0.20219199  1.52829037
  0.87471168 -0.62953981  0.73376385  1.3762074   1.88157057  1.16569061
 -1.22480293 -0.96892132  1.18832481 -0.68985377  0.33515788  1.48190075
 -0.90243083  0.94973038 -1.35277591  0.18585991  0.29220511  0.37198234
  1.74932853 -0.26698582 -0.59510465 -0.52678366 -0.77311585 -1.34290946
  0.89216502 -0.50165088  0.50762496 -2.33336015]",51.0,0.3,0.1,12.7,12.06,0.1,9.0,0.037,0.0,20.0,0.11,7.0,0.2,0.01,0.02,5.0,0.032,0.1,5.0,0.009,8.0,0.1,0.04,orange juice,0.6237565317
orange breakfast drink ready to drink,"[-0.88237055  0.95191379  0.68727483 -0.64069527  0.36051032  0.06189901
  1.37817587  0.71486106 -0.64409976 -1.1863266  -0.75183384  0.42302212
 -1.22380797 -0.69173884 -0.37979691  0.15142079  0.81996307 -1.09485425
 -0.95156751  0.29740125  1.93794177 -0.96959638  0.05520091  0.02305751
 -0.21780057 -1.64744149  0.50525337  0.54195861  0.42995799 -0.36891942
  0.51037036 -0.73104084 -0.25094611 -0.71036196 -1.00837162 -0.5627357
 -0.55941697 -2.11154894  0.07992806 -1.64604962 -0.44151738 -0.33615691
 -0.00426416  1.40888681  0.84669363 -1.54629632 -1.55359097  1.19473893
  0.59180512  0.62727352 -0.28814732 -1.81598079 -0.45490317 -1.03959953
  0.48662712 -0.07189629 -0.81338638  0.9769416  -0.63831836  0.72105372
 -0.23177063  0.55651955  0.4350695  -0.92279228  0.5102306   0.07018959
  1.02682912  0.75749553 -0.26763681 -1.65623796 -0.42683371  1.35097266
  2.87579441 -1.22453607 -0.60306159  1.00470485  1.57357173 -0.19988221
 -1.61411444 -1.03524295 -0.40273613 -0.94541491 -0.06271414  1.7515601
  0.17615067  0.07069473 -0.42213765 -0.34234052  0.9525598   0.4737178
  0.03653038 -0.03357393  1.36647431 -0.33572129  0.46806477  1.52106867
 -0.65543499  0.86937095  0.28333963 -1.80337729]",53.0,0.0,0.0,13.2,8.02,0.1,21.0,0.02,0.0,24.0,0.04,5.0,0.09,0.01,0.12,100.0,0.027,0.05,5.0,0.013,7.0,0.0,0.05,exotic fruit,2.43
orange drink canned,"[-0.56692811  0.51340875  0.96111702 -0.84512492  1.30598461 -0.16435395
  0.46468528  0.98424047 -0.13934139  0.4926194  -1.01922909  1.33727946
 -1.02096776 -0.93126321  0.16031868  0.16045141  3.28376484 -1.25112709
 -1.15049716 -1.60324515  2.24691131 -0.51152623 -0.67791533 -1.21135108
 -1.39502635 -2.33702525  0.85849011  1.58732835  1.90276327 -0.04630989
 -0.47683068 -1.64040023  0.63264918 -0.11671675 -1.24405311  1.20110116
 -1.6347003  -2.10833734 -0.76367523  0.23770833  0.38675187 -0.4350432
  0.76456477  2.24568713  0.77788619  0.33846068 -2.22887091 -0.04458433
 -0.45997478  0.13440486 -0.49420215 -1.79625702 -1.29624829  0.8908452
 -0.44291241 -1.01076206 -0.41013644  1.32338526 -1.2888445   1.46965079
 -0.31876846 -0.26247119  0.68505999 -0.21274018  0.46030448 -0.02884832
  0.97581238 -0.18025659 -0.79405484  0.08811758  0.52752264  0.4827826
  1.34572902 -0.87163045  0.91555731  0.71809504  2.45431165  1.22706969
 -1.17145406 -1.1882993   1.06800588 -1.82703025  0.29107859  2.27879659
 -0.86700237  0.44103507 -1.22282766 -0.38557676  0.88067592  0.92260849
  1.98777039 -0.93507615  0.2148841  -1.13567249  0.30846878  1.37371461
  0.53740364  0.09029571  0.77286967 -1.94411149]",49.0,0.0,0.07,12.34,11.03,0.0,1.0,0.0,0.0,57.3,0.02,2.0,0.011,0.0,0.0,5.0,0.0,0.04,2.0,0.011,1.0,0.0,0.02,orange,0.3546129032
pineapple and orange juice drink canned,"[ 0.3339293   0.12467723 -0.07602448 -1.04073438  0.24262893 -0.60509643
 -0.68750523  0.52171052 -0.91748681  0.51467606 -0.74899886  0.62020581
 -1.37790654 -0.95550409  0.9034825   1.23200076  2.54788514 -1.72662864
 -0.60884009 -1.19026168  2.08793646  0.13644261 -0.9686196  -1.64717454
 -0.56576431 -1.51856889 -0.23644741  1.26562432  2.0638792   0.04269009
 -0.09207089 -1.67354958  0.82245684  0.01494028 -0.94482335  0.34573078
 -1.71048415 -2.2024095  -0.16154396  0.16181209  0.77280684 -1.34787293
 -0.17493041  2.57043538 -0.97430493  0.56913483 -1.21281481  0.84835005
  0.20171559  0.67501162 -0.64644324 -1.53628966 -0.44545653  0.77328737
 -0.63336558 -0.94495148 -0.03803652  0.83773047 -0.68466195  0.99028563
 -0.15564404 -0.73380293  0.11783692 -0.49126296  0.64737188  0.5179326
  0.72190658 -0.57984653 -0.53940263  0.08780592 -0.26778326  0.83911639
  0.84757397 -1.11299033  0.86377489  1.33098331  1.80170754  1.16287495
 -1.04024516 -0.90366775  1.27633899 -0.93605438  0.4435794   1.78497658
 -1.16136338  1.05119321 -1.4866934   0.23901459  0.24540778  0.45939485
  2.12938149 -0.74261445 -0.46728082 -0.62374464 -1.03515625 -0.61992327
  0.78311182 -0.64351569  0.29121124 -2.26445226]",50.0,1.3,0.0,11.8,11.59,0.1,1.0,0.047,0.0,22.5,0.03,9.0,0.207,0.019,0.03,5.0,0.041,0.27,6.0,0.361,4.0,0.1,0.06,pineapple juice,2.78
ready to drink reduced fat milk beverage flavored and sweetened,"[-0.21112847  0.65480653 -0.61033657 -0.52935951  0.16561076 -0.64388183
 -0.29138826 -0.08511139 -0.99418321 -0.47773304 -0.63976743  0.37446504
 -1.31107444 -2.11641307  0.92038768 -0.00222831  0.36123957 -0.63983098
 -0.61332351  0.14100781  0.2440485   1.14355446  0.17338446 -0.77154295
 -0.67569846 -0.41577052  0.41214582  0.54536973  0.10418906 -0.35369756
  0.09072152 -1.22225252 -0.93854171 -0.4539794  -0.04716941 -0.2354001
 -0.72940939 -0.7487446   0.07690414  0.06886357 -0.03032057 -0.22166186
 -0.41318961  0.62892944 -1.24654261 -1.27253802  0.26982836  1.79283634
  0.33579122  0.21695245  0.40119757 -0.85875678  0.78695038 -0.96338951
  0.69543466 -0.85340688 -0.75653701  0.69247234 -0.24079311  1.07107768
  0.16120568 -0.61147113  0.39467509 -0.53225574  0.60948096  0.55077872
 -0.09094842 -0.28878332 -0.20815295 -2.11027305 -0.74297714  1.19408009
  1.94182734 -0.77491675  0.28724248  0.19043652  0.79349492  0.38377266
 -0.84202946 -0.73235583 -0.18495926  0.15232997  0.64802534  1.12823765
  0.26409449  0.25372813 -0.66141872 -0.38043809  0.64347174 -0.982815
  0.76587833 -0.1865291   0.95138489 -0.28350349  0.38206622  0.36739751
 -0.92291526  0.33755106 -0.16295495 -1.43763657]",77.0,3.05,1.83,12.08,11.4,0.4,51.0,0.035,0.49,0.2,0.03,4.0,0.085,0.172,0.036,164.0,0.006,0.03,10.0,0.013,85.0,2.3,0.45,cow milk,1.432598057
rice drink unsweetened,"[ 0.54545561  0.07165174  0.80461238 -1.35536917  0.80348013  0.2084379
  0.32487133 -0.33245297 -1.1777994   1.00255709 -0.99120063  1.20758651
 -1.32311478 -0.28384466  1.53182473 -0.28167357  1.00432821 -0.93143887
 -0.31020321 -0.85574069  0.90519051  0.33363267  0.69114727 -0.26661676
  0.04895024 -2.12545715  0.10497282 -0.46312356  0.95964526 -1.66468828
  0.83498267 -1.24555957  1.71067083 -1.10645771 -0.55560109  0.59100553
 -0.94828667 -1.41251353 -0.86425803 -0.92432664 -0.50540225  0.16592428
  0.47397939 -0.98961492  0.42237596 -0.19976648 -2.04687041  1.75720573
  0.78715138  0.78952266 -0.32528761 -0.93968026 -0.53977865 -1.38939872
  0.35118879 -1.57000204 -1.26795236 -0.40349038 -0.73225712  0.98066854
  0.11355373  0.61102204 -0.20367476  0.40573462 -0.09015258 -0.21377493
 -0.08431192  1.64231565 -1.17586942 -0.765921   -0.19583789 -0.31428224
  2.03051787 -0.16295659  0.81474638 -0.08035763  1.03835663  1.0522628
 -0.72960182 -0.84244209  0.21116082 -0.80679364  0.31511617  0.48748541
 -0.02055955  0.22975717 -0.39927369  0.50959911 -0.49478813  0.29508715
  0.77320906 -0.25064297 -1.14538434 -0.62281507  0.04179168  1.05097275
 -0.79289588  1.5083975  -0.28341798 -0.79391759]",47.0,0.28,0.97,9.17,5.28,0.3,63.0,0.039,0.63,0.0,0.47,2.0,0.39,0.142,0.027,118.0,0.037,0.2,11.0,0.282,56.0,2.2,0.13,rice,2.53557214092141
shake fast food,"[ 1.67031919  2.30465849  0.88243397  0.49744809  0.50658387  2.01259792
  0.59662819  1.54697915 -0.40566395  0.81493964  0.38373037  2.63760783
 -2.36439025  0.28366071  0.48425586  1.14958942  0.87481004 -0.789978
  0.92082494  2.00353022  1.51364957 -0.71192932  1.07202327 -0.4838681
 -0.20733805 -0.68948001  1.36423616  0.51432253  0.86032081 -0.04153519
 -0.61898922 -0.78074298  0.68184841  1.10115405 -1.59738748 -2.99824593
  0.85998958  0.22956069 -0.6906998  -1.06819198 -0.01633886 -0.04607132
  2.51177945 -0.86331784  1.60118152  0.00323252  0.6404853   0.70539277
  0.68182611  0.08836904  0.82794707  0.9792589   0.24782735  0.47282802
  0.04145084  1.24531658 -0.55104582 -0.83973595 -1.57192498 -1.16057843
 -1.7858489  -0.11643151  0.04012296  0.25165345  1.49779377  1.23838273
  0.35565823 -0.00918587 -0.22916353 -0.32965932 -0.73610373 -1.5933556
  0.7657451   0.04806564  1.53513239  0.90973283  1.13182303 -0.28156638
 -0.62083882  1.30114242 -1.94414656 -1.55566814 -1.01197761  0.60332131
 -2.46303387  0.11742396  0.24867519  1.46492635  1.44085787 -0.03178049
  1.34600435 -1.55275222 -0.84077823  0.42901202  1.34947288  0.71288718
  0.92016397 -2.57040469 -0.8942451  -1.53182912]",130.5,3.385,4.66,19.245,6.815,0.65,58.5,0.052,0.265,0.4,0.125,1.5,0.194,0.4275,0.0355,114.0,0.0625,0.285,13.0,0.025,99.0,2.6500000000000004,0.4649999999999999,coffee drip filtered,0.595
strawberry flavor beverage mix powder,"[ 1.08821056  0.12005569 -0.40542306  0.9400647  -0.61845981 -0.3836228
 -0.13826361 -0.92218699 -1.81419402  1.69610096 -0.14212612 -0.10149659
  0.07277652 -0.12642985  0.28864597 -0.03793443  2.07312959 -0.6840099
 -0.59784077  0.33216118  1.43562988 -0.8459954   0.9404512  -2.36143266
 -0.37219867 -0.32290542  1.25371521  0.93922835  1.61978568 -0.19928006
  0.61304459 -1.57367485  0.52408667  1.427517   -0.69638772 -1.11703968
 -1.10214876 -0.83144984 -0.23875602 -0.19737864  0.6075102  -0.02372708
  0.70812912  1.04395373  0.05200732 -1.37144133 -0.04315817  0.85478722
  0.22808741  0.52125186 -0.24907728 -1.94815534  0.21861128  0.21890155
 -1.26972986 -0.39921758 -2.5051283  -0.54024524 -0.59118555  2.20697073
 -0.27744525 -0.51916097  0.47677454 -0.67547269  0.71747996  0.90054774
  0.98681132 -0.57161446 -1.1146806   0.64529766 -1.60620775 -0.91649401
  1.50074633  0.55743396  2.53964235 -0.22243154 -0.27648186  1.24151058
 -1.09097832 -0.41714392  0.92313805 -1.51885962 -0.44842842  0.35603938
 -0.07369657  0.33673059 -0.45876606  0.52293811  1.14302785  0.29664485
  1.91919448 -0.35673138 -0.81145949 -0.18199047 -0.99029031 -0.82951756
 -0.20740003 -0.63376102  1.13704339 -0.46408626]",238.5,1.55,1.65,55.7,47.725,0.0,13.0,0.0205,0.165,0.6,0.0,2.5,0.078,0.134,0.019,57.0,0.0045,0.26,6.5,0.001,45.5,1.15,0.175,yogurt flavoured,2.812144286
tea black,"[-1.02836281e+00  2.30325437e+00  7.17867881e-01 -1.20109095e+00
 -4.63876903e-01  2.13528752e-01  1.09333387e+00 -2.38708752e+00
 -1.53656468e+00  6.36000037e-02  1.23482743e+00  1.66460705e+00
 -1.42569071e+00 -6.17801934e-01  2.02670968e+00 -7.56241053e-01
  1.63255084e+00 -2.79940593e+00  5.20518534e-01 -2.61823118e-01
  3.53634287e+00 -1.03958729e+00  2.86521447e+00  2.10968256e-02
 -8.48771185e-01  4.05836001e-01 -2.13792026e-01  8.43542305e-01
 -8.67790751e-01  3.68392479e-01 -2.77293473e-03 -1.77965009e+00
  1.67558450e+00  1.57014984e+00 -2.54141110e+00  1.33809754e+00
 -2.49550840e+00 -1.44364569e+00 -6.89149022e-01 -3.23033810e-01
  1.92599851e+00 -1.24045438e+00 -1.26868060e+00  1.21080380e+00
  1.09272063e+00  2.23606397e-01  8.80010664e-01  2.65823925e+00
 -4.62954342e-01  2.32513189e-01  8.62785280e-02  3.69090393e-01
 -1.06699407e-01  3.26023221e-01  2.35951746e+00 -1.34882265e+00
 -5.70628583e-01 -2.31061321e+00  8.89753368e-01 -1.75137877e-01
  1.08791929e+00  1.75483995e+00 -1.16992834e+00 -7.06365835e-01
  8.46745372e-01  1.05190367e-01  1.05635768e+00 -3.85131598e-01
 -1.42200822e+00  3.33478048e-01  1.64926404e+00 -8.15481880e-01
  1.83193105e+00 -4.09232020e-01  1.07730401e+00 -6.15296036e-01
  1.16144857e+00  6.06305929e-01 -5.68151996e-01 -9.19822097e-01
  1.28760257e+00  1.31974703e+00  2.74763244e+00  3.18538934e-01
  6.02080315e-01  9.03225534e-01  5.77554643e-01  1.58251980e+00
 -8.19397092e-01  8.21858756e-01  3.02327021e+00 -2.75233567e-01
 -1.12238917e+00 -5.42481482e-01 -3.30491066e-02 -4.23417985e-01
  7.30485976e-01 -7.48716146e-01  1.58865058e+00 -3.18889868e+00]",1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.014,0.0,0.0,0.0093333333333333,0.0166666666666666,2.333333333333333,0.219,1.0,0.0,0.0166666666666666,coffee green,0.494625
tea herb,"[-0.68461484  0.70018727  0.22583973 -0.78701195  0.75698958 -0.58598953
  1.95264798 -2.06501579  0.0535534   0.28151441  0.80626187  1.62676835
 -2.14590287  0.60288924  2.66696292 -0.23257491  2.02660602 -1.38525726
 -0.02115508 -1.39983672  3.0919477  -1.55263463  0.63061547  0.91825343
 -2.08478606  0.52558805  0.82882339  0.58972224 -1.36893064  0.38056759
  0.59412335 -0.71766728 -0.13509268  0.28084758 -0.6918613   0.95723358
 -2.94922018  0.22942638 -0.13440609 -2.28547955  0.76829958 -3.26411605
 -0.46497296 -0.4542445  -0.38667622 -0.19887171  0.45214289  1.30923148
 -1.07238567  0.51051652 -0.25763904 -0.08766827 -0.98848614 -0.18311524
  1.0488441  -1.58562556 -0.50024617 -2.15147072 -0.48177212  0.86436584
  0.78124246  1.11997563 -1.08333253 -1.10208471  1.4670572   0.11822656
  0.13956591 -2.34871817 -0.97796689  0.19940315  0.60741053  0.51973528
  2.34227002 -1.00155862  0.49231727 -0.09684563  0.6783092   0.30884773
 -1.39263225 -1.64539391  1.00394121  0.3461046   1.6053111   0.29664692
  0.70379701 -0.09179819 -0.87086031  2.65215993  0.8201957   0.6486772
  0.39142944  0.20830801 -1.38685241 -0.29309833  0.47879563 -0.64802587
 -0.4484374  -0.21523938  0.84203635 -2.42263269]",1.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.01,2.0,0.015,0.08,1.0,0.044,0.0,0.0,0.04,strawberry juice,2.68
tea instant,"[ 0.19311532  2.1906749  -1.44988969 -2.40306902  1.25819868 -1.61685157
  2.50465488 -2.81356013  0.42559938 -0.43907043  1.81794262  2.34856902
 -1.45919889 -0.0300214   3.46245825 -0.3374683   0.63448325 -0.05728233
 -0.76833851  1.12930623  2.8695268  -0.96787891  1.94385809  0.41572613
 -1.3686637   0.19618733 -0.71501869 -0.64096251 -0.76050106  1.67633182
 -0.05505409 -1.61988664  1.28435308  0.72209942 -0.019804    0.71221106
 -4.19711018 -4.16955376 -0.87285545 -2.52190167  1.04997247 -1.79655457
  0.37191352  0.20999825  0.10111643  0.0353481   0.2807956   1.49421666
 -0.31822467  1.31531945 -0.99464962 -1.28437281 -0.73233336 -0.07647291
  1.12752161 -2.69712079 -1.45674109 -1.22661225  0.0134955   0.75986788
  1.46819109  1.08891082 -0.18524933  1.31729226  1.81756356 -0.39391308
  0.62233469 -0.20331264 -1.58619881 -0.64860241  0.76365865 -1.04203856
  3.3275342   0.03917271  1.81782871 -0.26004472  0.98395655 -0.13081489
 -0.42630017 -1.92940962  0.78063896 -0.07741433  0.81649558 -0.41428824
  0.40781039 -0.18062091 -0.26112854  0.47008592  1.51186258  1.28941298
  0.32347964  1.61268467 -0.29839586 -1.38979834  0.64724373  0.90250465
 -1.09417886  1.16254589  0.56760556 -1.23813772]",261.45454545454544,5.031818181818182,0.2909090909090909,60.96000000000001,19.843636363636364,2.0727272727272728,0.0,0.1119999999999999,0.0,9.090909090909092,0.0081818181818181,34.72727272727273,3.295272727272727,0.3093636363636364,0.0036363636363636,29.181818181818183,0.1585454545454545,2.151818181818182,86.81818181818181,33.220090909090914,80.45454545454545,1.7454545454545458,0.5754545454545453,espresso,0.55
