,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
0,agave cooked southwest,0.149667406,0.011565421,0.0029,0.32,0.209118236,0.19924812,0.0002,0.010875,0,0.000125,0.002409639,0.00192,0.002025,0.014558824,0.001071429,0.078534031,0.014889657,0.028721683,0.054852321,0.001136,0.0014227,0.000961076,0.013333333,mixed fish frozen,1.04,50
1,agave dried southwest,0.37804878,0.019976636,0.0069,0.8198,0.508016032,0.293233083,3.33E-05,0.027,0,0.000125,0.005087015,0.00448,0.010875,0.094705882,0.001875,0.13145914,0.025126296,0.029449838,0.291139241,0.002696,0.005848878,0.002883229,0.645333333,yeast dried,3.294,33
2,agave raw southwest,0.075388027,0.006074766,0.0015,0.1623,0.025851703,0.12406015,6.67E-05,0.006875,0,0.001666667,0.001539491,0.00448,0.002025,0.005735294,0.002589286,0.071192807,0.018346185,0.014563107,0.077355837,0.000752,0.001106544,0.001922153,0.008,yogurt plain,2.095343049,12
3,alcoholic beverage wine,0.092165558,0.000817757,0,0.026653333,0.000414162,0,0,0.000475,0,0,0,0,0.000186667,0.000303922,2.98E-05,9.11E-05,9.75E-05,0.000248112,0.001125176,7.04E-05,0.000242386,6.41E-05,0.000497778,wine white,1.020266667,113
4,alfalfa seeds sprouted,0.025498891,0.04661215,0.0069,0.021,0.002004008,0.035714286,0.000266667,0.00425,0,0.003416667,0.000133869,0.02304,0.0060125,0.018529412,0.006785714,0.005463237,0.020872108,0.00776699,0.037974684,0.001504,0.011065444,0.002883229,0.049066667,sunflower seed,1.1595,112
5,amaranth grain cooked,0.11308204,0.044392523,0.0158,0.1869,0,0.039473684,0,0.014125,0,0,0.001271754,0,0.0029375,0.003235294,0.001339286,0.008024129,0.019808562,0.016990291,0.091420534,0.006832,0.023395511,0.026429601,0.045866667,pork ham,7.9325,101
6,amaranth grain uncooked,0.411308204,0.158411215,0.0702,0.6525,0.016933868,0.12593985,0,0.073875,0,0.00175,0.007965194,0.05248,0.0115375,0.029411765,0.010357143,0.027145459,0.069795267,0.061569579,0.348804501,0.026664,0.08804932,0.089860644,0.153066667,radish,0.15379,42
7,amaranth leaves cooked,0.023281596,0.024649533,0.0018,0.0411,0,0,0.004633333,0.022125,0,0.017125,0,0.03648,0.0069875,0.019705882,0.001785714,0.035681766,0.021005052,0.01828479,0.077355837,0.006888,0.0113816,0.004324844,0.046933333,vegetables,0.6926075,112
8,amaranth leaves raw,0.025498891,0.028738318,0.0033,0.0402,0,0,0.004866667,0.024,0,0.018041667,0,0.0544,0.008225,0.023235294,0.002410714,0.036706123,0.021536825,0.018770227,0.077355837,0.00708,0.007903889,0.004324844,0.048,starchy roots,0.29,112
9,animal fat bacon grease,0.994456763,0,0.995,0,0,0,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0.005866667,bacon,4.025,3
10,apple juice canned or bottled,0.051736881,0.001246106,0.001433333,0.113633333,0.095891784,0.004385965,0,0.00225,0,0.009680556,4.46E-05,0,0.0008875,0.002401961,0.001369048,0.00489415,0.001506691,0.000997843,0.007032349,0.000488,0.00121193,0.000320359,0.001422222,apple juice,2.84,97
11,apple juice frozen concentrate,0.118070953,0.003796729,0.00235,0.2627,0.221918838,0.002819549,0,0.0093125,0,0.012145833,8.37E-05,0.00032,0.00108125,0.005073529,0.000625,0.00221944,0.004254188,0.00473301,0.015471167,0.001152,0.002529244,0.001201346,0.004533333,apple juice,2.84,44
12,apples canned,0.074279379,0.002102804,0.0046,0.1677,0.149498998,0.034774436,0.0001,0.0055,0,0.000125,0.001405622,0,0.0009625,0.001470588,0.000803571,0.000682905,0.006913055,0.001901294,0.003516174,0.001272,0.000869428,0.001441615,0.002133333,carrots canned,1.6,34
13,apples dehydrated low moisture,0.232815965,0.009345794,0.0035,0.5672,0.406462926,0.140977444,8.33E-05,0.020875,0,0.000583333,0.00251004,0.00032,0.005125,0.011691176,0.002410714,0.001963351,0.021869184,0.009830097,0.018987342,0.00062,0.005295605,0.00528592,0.009333333,millet,0.855,103
14,apples dried,0.141537325,0.005257009,0.001533333,0.3398,0.235504342,0.078947368,2.22E-05,0.00925,0,0.000805556,0.001450245,0,0.004904167,0.009607843,0.000357143,0.001138174,0.012275104,0.005501618,0.010782935,0.000349333,0.002898093,0.00256287,0.005155556,grapes,0.391,50
15,apples frozen,0.052660754,0.003329439,0.00325,0.12155,0.050601202,0.02443609,0,0.004125,0,0.000104167,0,0.00064,0.00053125,0.001617647,0.001205357,0.000768268,0.008176017,0.001496764,0.004219409,0.00126,0.001264622,0.000961076,0.002666667,raspberries frozen,1.175,63
16,apples raw,0.061961074,0.003258048,0.002133333,0.138655556,0.106067691,0.043441938,8.52E-05,0.005333333,0,0.000421296,0.000959393,0.000355556,0.001080556,0.003398693,0.001498016,0.000986418,0.004032615,0.00104279,0.006250977,0.000456889,0.001686163,0.000373752,0.002251852,grapes,0.391,8
17,applesauce canned,0.063192905,0.001985981,0.001375,0.14985,0.083792585,0.021616541,2.50E-05,0.00334375,0,0.002666667,0.00083668,0.00128,0.0013375,0.004044118,0.001830357,0.000640223,0.004287424,0.001881068,0.004219409,0.00031,0.000908947,0.001441615,0.001733333,corn canned,1.355,8
18,apricot nectar canned,0.062084257,0.00432243,0.0009,0.1439,0.135420842,0.011278195,0.0022,0.00275,0,0.003791667,0.001037483,0.00064,0.00325,0.002058824,0.000803571,0.001195083,0.009704866,0.003074434,0.007032349,0.000256,0.0014227,0.000480538,0.0048,apricot,0.359142857,93
19,apricots canned,0.06824341,0.006996366,0.000777778,0.158088889,0.076753507,0.031328321,0.00277037,0.006763889,0,0.001305556,0.002446824,0.00128,0.004983333,0.003218954,0.001696429,0.001612414,0.009261721,0.00314635,0.010939209,0.000368,0.002230653,0.000266966,0.00557037,carrots canned,1.6,0
20,apricots dehydrated low moisture,0.247228381,0.03989486,0.0043,0.57755,0,0,0.014216667,0.0425625,0,0.003458333,0,0.00192,0.0325625,0.015808824,0.0025,0.007255862,0.053376761,0.035558252,0.061884669,0.002056,0.017309516,0,0.037066667,millet,0.855,110
21,apricots dried,0.162232077,0.022429907,0.0028,0.380166667,0.243854375,0.087719298,0.0039,0.012375,0,0.000375,0.01307452,0.002773333,0.018154167,0.00622549,0.000744048,0.005064876,0.026677302,0.013807983,0.027191749,0.001082667,0.007060807,0.004805382,0.013688889,yeast dried,3.294,50
22,apricots frozen,0.10864745,0.00817757,0.001,0.251,0,0.041353383,0.0028,0.0075,0,0.00375,0,0.00128,0.01,0.005882353,0.001785714,0.001707262,0.008508375,0.007281553,0.012658228,0.0004,0.003003478,0.001922153,0.005333333,raspberries frozen,1.175,51
23,apricots raw,0.053215078,0.01635514,0.0039,0.1112,0.09258517,0.037593985,0.0032,0.00675,0,0.004166667,0.005957162,0.00576,0.0075,0.005882353,0.002678571,0.00221944,0.010369583,0.00315534,0.014064698,0.000616,0.003635789,0.000480538,0.010666667,carrots canned,1.6,29
24,arrowroot raw,0.072062084,0.04953271,0.002,0.1339,0,0.02443609,3.33E-05,0.03325,0,0.000791667,0,0.21632,0.0211625,0.008676471,0.012767857,0.001024357,0.016086147,0.017961165,0.035161744,0.001392,0.015491622,0.003363767,0.0336,carrots canned,1.6,77
25,artificial blueberry muffin mix dry,0.451219512,0.054906542,0.087,0.7745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oat,0.7006,13
26,arugula raw,0.027716186,0.030140187,0.0066,0.0365,0.020541082,0.030075188,0.003966667,0.009125,0,0.00625,0.002878179,0.06208,0.0038125,0.012647059,0.003928571,0.027316185,0.010103696,0.011812298,0.066104079,0.002568,0.008220044,0.001441615,0.025066667,lettuce,2.694285714,112
27,asparagus canned,0.018107908,0.022352025,0.003366667,0.024733333,0.006880428,0.022556391,0.000888889,0.01275,0,0.007138889,0.005957162,0.056746667,0.011066667,0.013627451,0.005029762,0.002617801,0.013737481,0.008171521,0.013127051,0.001264,0.006270418,0.007848791,0.023822222,carrots canned,1.6,41
28,asparagus cooked,0.024390244,0.028037383,0.0022,0.0411,0.013026052,0.037593985,0.001666667,0.009875,0,0.003208333,0.010040161,0.09536,0.01355,0.020441176,0.014464286,0.003926702,0.021935655,0.00736246,0.019690577,0.001232,0.0085362,0.02931283,0.032,asparagus,0.96671954,112
29,asparagus frozen,0.022172949,0.035552959,0.003566667,0.026466667,0.002137609,0.031954887,0.001411111,0.006291667,0,0.011194444,0.005354752,0.098346667,0.013658333,0.016519608,0.007470238,0.003471432,0.015377116,0.004989213,0.015939991,0.001288,0.0085362,0.015217043,0.025066667,zucchini frozen,1.35,112
30,asparagus raw,0.022172949,0.025700935,0.0012,0.0388,0.018837675,0.039473684,0.001266667,0.011375,0,0.002333333,0.007563588,0.03328,0.012225,0.020735294,0.012767857,0.004097428,0.025126296,0.017313916,0.019690577,0.001264,0.008220044,0.011052379,0.0288,asparagus,0.96671954,112
31,avocados raw,0.16518847,0.024104361,0.133766667,0.0833,0.011289245,0.119674185,0.000233333,0.025916667,0,0.005027778,0.014948684,0.043733333,0.018008333,0.015980392,0.00485119,0.001991805,0.029735,0.003586839,0.038443507,0.001029333,0.007693118,0.001281435,0.030577778,avocado,0.9975,120
32,bacon bits meatless,0.527716186,0.373831776,0.259,0.286,0,0.191729323,0,0.01,0.016901408,0.000791667,0.046184739,0.08128,0.02,0.010294118,0.053571429,0.017243342,0.071656474,0.005825243,0.133614627,0,0.034302877,0.035559827,0.099733333,bacon,4.025,26
33,bacon meatless,0.34368071,0.124766355,0.2952,0.0632,0,0.04887218,0.000133333,0.059875,0,0,0.046184739,0.02688,0.0945,0.070735294,0.392857143,0.003926702,0.013959053,0.019498382,0.026722925,0.00164,0.011065444,0.035559827,0.0224,bacon,4.025,49
34,bacon pre sliced,0.451219512,0.146378505,0.3927,0.0083,0.008316633,0,0,0,0.007042254,0,0.002878179,0,0,0,0,0.000682905,0.006248338,0.003398058,0.016877637,8.80E-05,0.028453999,0,0.063466667,bacon,4.025,2
35,bagel wheat,0.277161863,0.119158879,0.0153,0.4889,0.061322645,0.077067669,0,0.018375,0,0,0.002141901,0.06912,0.042125,0.030735294,0.035982143,0.003414523,0.023265089,0.022330097,0.071729958,0.01144,0.022447044,0.137914464,0.058666667,wheat,0.671229546,116
36,bagels cinnamon raisin,0.314855876,0.119158879,0.0175,0.5725,0.062174349,0.045112782,0.000733333,0.007625,0,0.000270833,0.002175368,0.10752,0.03788125,0.040073529,0.031875,0.00332916,0.021470354,0.031917476,0.035864979,0.004816,0.014464116,0.154493032,0.051733333,raisin,0.658,60
37,bagels,0.308203991,0.123831776,0.021,0.53,0,0.043233083,0.0011,0.010875,0.002253521,0.00025,0,0.08576,0.0430375,0.034558824,0.047857143,0.00221944,0.011964903,0.032200647,0.035161744,0.00328,0.013278533,0.14704469,0.041066667,egg pasta,3.190466667,90
38,bagels oat bran,0.2827051,0.125,0.012,0.533,0.016332665,0.067669173,3.33E-05,0.005375,0,8.33E-05,0.002208835,0.08576,0.037,0.049705882,0.029553571,0.002048714,0.020074448,0.024919094,0.043600563,0.006904,0.017388555,0.164344065,0.048,oat,0.7006,60
39,bagels plain,0.305321508,0.124299065,0.01568,0.53938,0.028557114,0.041729323,0,0.007325,0,0,0.010147256,0.069632,0.04242,0.030382353,0.036321429,0.014614159,0.020393512,0.023220065,0.039381153,0.0043744,0.015143851,0.044882268,0.05088,plain crackers,1.239375,65
40,baking chocolate mexican,0.472283814,0.042523364,0.1559,0.7741,0.695390782,0.07518797,0,0.00425,0,4.17E-05,0.002409639,0.0032,0.0228625,0.015441176,0.005089286,0.005804689,0.089072055,0.01763754,0.133614627,0.003592,0.022447044,0.008649688,0.0672,carob,1.1035,71
41,baking chocolate unsweetened,0.61751663,0.15432243,0.50005,0.3231,0.004559118,0.32612782,1.67E-05,0.0061875,0,0,0.001338688,0.01504,0.02159375,0.027867647,0.008794643,0.013231277,0.341863866,0.087176375,0.416315049,0.023268,0.058488776,0.038443056,0.354933333,chocolate,6.6,19
42,bamboo shoots canned,0.021064302,0.020093458,0.004,0.0322,0.018937876,0.026315789,3.33E-05,0.017,0,0.000458333,0.004216867,0.00192,0.00175,0.003823529,0.002321429,0.001365809,0.015155544,0.002588997,0.005625879,0.001256,0.003951944,0.002402691,0.034666667,carrots canned,1.6,112
43,bamboo shoots cooked,0.012749446,0.017873832,0.0022,0.0172,0,0.018796992,0,0.01225,0,0,0,0.00128,0.00375,0.007352941,0.001785714,0.002048714,0.010901356,0.001941748,0.004219409,0.000904,0.003161555,0.001922153,0.025066667,shrimp frozen,17.73375,88
44,bamboo shoots raw,0.029933481,0.030373832,0.003,0.052,0.03006012,0.041353383,3.33E-05,0.03,0,0.001666667,0.00669344,0.00448,0.0075,0.010294118,0.013392857,0.00221944,0.02525924,0.004045307,0.004219409,0.002096,0.009326589,0.003844306,0.058666667,carrots canned,1.6,117
45,bananas dehydrated,0.383592018,0.045443925,0.0181,0.8828,0.473947896,0.186090226,0.0004,0.055,0,0.002916667,0.002610442,0.00896,0.035,0.035294118,0.016071429,0.003755975,0.051980856,0.009304207,0.151898734,0.004592,0.011697755,0.01874099,0.032533333,banana,0.81292,92
46,bananas raw,0.098669623,0.012733645,0.0033,0.2284,0.12254509,0.04887218,0.0001,0.045875,0,0.003625,0.000669344,0.0128,0.0083125,0.010735294,0.002767857,0.000853631,0.010369583,0.00210356,0.037974684,0.00216,0.003477711,0.004805382,0.008,banana,0.81292,61
47,barbecue loaf pork,0.191796009,0.185046729,0.089,0.064,0,0,0.0001,0.0325,0.023661972,0,0,0.00576,0.028325,0.036470588,0.032142857,0.009389939,0.009306036,0.009385113,0.023909986,0.00032,0.020866266,0.102354637,0.1312,pork,5.786150705,86
48,barley hulled,0.392461197,0.145794393,0.023,0.7348,0.008016032,0.32518797,3.33E-05,0.03975,0,0,0.003815261,0.01216,0.05755,0.041911765,0.057678571,0.005633963,0.066205796,0.029126214,0.187060478,0.015544,0.041732532,0.181162902,0.147733333,barley,0.532970588,94
49,basil fresh,0.025498891,0.036799065,0.0064,0.0265,0.003006012,0.030075188,0.0088,0.019375,0,0.0075,0.005354752,0.04352,0.011275,0.011176471,0.003035714,0.030218529,0.051183196,0.025647249,0.090014065,0.009184,0.008852355,0.001441615,0.0432,tomato and basil,1.1465,112
50,beans adzuki,0.239911308,0.098130841,0.00176,0.45634,0,0.102631579,6.67E-06,0.015875,0,0,0,0.125312,0.01188,0.012,0.014125,0.005838835,0.052751928,0.018236246,0.078762307,0.005632,0.026272526,0.01057184,0.108906667,beans frozen,1.77,114
51,beans baked,0.127771619,0.062908879,0.0241375,0.1947625,0.045303106,0.084351504,0.000125,0.009640625,0.000598592,0.000692708,0.000502008,0.01728,0.0068,0.006397059,0.00703125,0.008237537,0.026954267,0.013288835,0.044479606,0.002409,0.015491622,0.02733061,0.099533333,beans frozen,1.77,80
52,beans black,0.192904656,0.13244743,0.006975,0.315825,0.005886774,0.187030075,0,0.01496875,0,0.00028125,0.001388889,0.12848,0.011203125,0.015845588,0.034107143,0.009048486,0.048225206,0.022491909,0.121659634,0.004362,0.029244388,0.008289284,0.085733333,green beans frozen,2.741769912,119
53,beans black turtle,0.191241685,0.127453271,0.004725,0.32125,0.00748998,0.183270677,0,0.01546875,0,0.00028125,0.004300535,0.10832,0.011340625,0.015625,0.033258929,0.013017869,0.057498006,0.032969256,0.10302391,0.003774,0.033670566,0.008289284,0.0568,green beans frozen,2.741769912,119
54,beans chili,0.107538803,0.058411215,0.01,0.169,0.05260521,0.078947368,3.33E-05,0.03375,0.000140845,0.000708333,0.001405622,0.01664,0.0045,0.022058824,0.003571429,0.005292511,0.033501728,0.015048544,0.063291139,0,0.024343977,0.006246997,0.106666667,chili,0.8,101
55,beans cranberry roman,0.191241685,0.137996495,0.006075,0.310225,0,0.239661654,0,0.0164375,0,8.33E-05,0,0.1752,0.009340625,0.014338235,0.026919643,0.011139882,0.046463706,0.021703074,0.101265823,0.00372,0.028770155,0.022104757,0.09,beans frozen,1.77,119
56,beans fava,0.097560976,0.092523364,0.0073,0.1763,0.092284569,0.140977444,0.000566667,0.013,0,0.001541667,0.007764391,0.09472,0.0281125,0.042647059,0.011875,0.006316868,0.053443233,0.012540453,0.046413502,0.005288,0.020392033,0.003844306,0.053333333,beans frozen,1.77,80
57,beans french,0.222099039,0.128154206,0.0118,0.373833333,0,0.275689223,0,0.025458333,0,0.000972222,0,0.11712,0.013229167,0.016911765,0.023660714,0.01775552,0.029690685,0.014994606,0.140646976,0.005237333,0.026767836,0.024507448,0.056533333,beans frozen,1.77,119
58,beans great northern,0.17804878,0.124439252,0.00564,0.29318,0.010180361,0.165413534,0,0.022325,0,0.000875,0.002409639,0.108544,0.0105975,0.013970588,0.022410714,0.014238561,0.043897899,0.020825243,0.109985935,0.00524,0.033164717,0.028159539,0.05728,beans frozen,1.77,119
59,beans kidney,0.114264597,0.099528816,0.0051,0.178993333,0.003109552,0.107017544,0,0.016633333,0,0.008045833,0.000319054,0.069077333,0.024580833,0.026941176,0.02647619,0.007324152,0.039444297,0.019511866,0.063478669,0.0029304,0.019101064,0.005590261,0.047537778,beans frozen,1.77,80
60,beans lima,0.078713969,0.047546729,0.0029,0.1333,0,0.067669173,0.000266667,0.00775,0,0.003041667,0,0.01024,0.00665,0.006323529,0.002589286,0.004780332,0.021536825,0.01302589,0.047819972,0.0056,0.011223522,0.00528592,0.034133333,beans frozen,1.77,87
61,beans liquid from stewed kidney beans,0.05210643,0.021028037,0.032,0.028,0,0.001879699,0,0.00375,0.00028169,0,0,0.02112,0.004875,0.013235294,0.008928571,0.00221944,0.01302845,0.015857605,0.052039381,0,0.013910844,0.002402691,0.026133333,beans frozen,1.77,14
62,beans mature,0.089800443,0.060981308,0.0036,0.1483,0.018537074,0.09962406,0,0.01,0,0.000333333,0.000133869,0.01664,0.006175,0.009852941,0.009464286,0.004951059,0.019542675,0.010113269,0.042194093,0.002328,0.016756244,0.00528592,0.033066667,beans frozen,1.77,87
63,beans mung,0.013303769,0.01635514,0.0006,0.0214,0.013426854,0.015037594,0,0.004,0,0.000125,0.000267738,0.0064,0.00275,0.010294118,0.002678571,0.002390166,0.020872108,0.003478964,0.012658228,0.000584,0.005058489,0.002883229,0.014933333,beans frozen,1.77,88
64,beans navy,0.14236881,0.107145639,0.007829167,0.238408333,0.006137275,0.087406015,0,0.024838542,0,0.003838542,0.000686078,0.093173333,0.014011979,0.023241422,0.03265625,0.00842249,0.049421696,0.020489482,0.133380216,0.004580333,0.024442776,0.015016819,0.068355556,beans frozen,1.77,80
65,beans pink,0.236881005,0.152180685,0.007033333,0.400033333,0.009552438,0.145989975,0,0.036541667,0,0,0.004841589,0.170453333,0.012633333,0.015588235,0.03827381,0.01331664,0.059913144,0.03066343,0.146272855,0.006592,0.039255981,0.025308345,0.079466667,beans frozen,1.77,119
66,beans pinto,0.136653996,0.088694648,0.006442857,0.22765,0.003843401,0.100586287,0,0.019375,0,0.001543155,0.001525148,0.059657143,0.008502679,0.011973039,0.01763818,0.00853834,0.029595726,0.016442248,0.070708593,0.003396762,0.018466871,0.017545365,0.038279365,beans frozen,1.77,80
67,beans red,0.137472284,0.093224299,0.0105,0.2149,0.038076152,0.103383459,0,0,0,8.33E-05,0,0.01792,0.00575,0.002352941,0.005982143,0.009731391,0.036160596,0.012135922,0.042194093,0.003072,0.019127411,0.007688611,0.04,green beans frozen,2.741769912,80
68,beans small white,0.229120473,0.152063863,0.0082,0.379566667,0,0.286340852,0,0.028875,0,0,0,0.1408,0.007858333,0.015931373,0.036160714,0.018153881,0.041345387,0.036165049,0.149554618,0.006128,0.041258299,0.024667628,0.088711111,soy milk,0.854880238,119
69,beans snap,0.029933481,0.017035758,0.002286957,0.058108696,0.011823647,0.046747303,0.000510145,0.006793478,0,0.002882246,0.00122228,0.015081739,0.005203261,0.011150895,0.004375,0.006584091,0.008109545,0.00719713,0.026906378,0.002251826,0.004508653,0.001755009,0.014910145,beans frozen,1.77,98
70,beans white,0.20094235,0.146261682,0.0046,0.329125,0.007715431,0.153195489,0,0.01809375,0,0,0.004819277,0.0984,0.002725,0.010110294,0.017165179,0.021041999,0.059492156,0.042131877,0.129043601,0.007166,0.024423016,0.020422874,0.100666667,beans frozen,1.77,119
71,beans yellow,0.233924612,0.157009346,0.015866667,0.3708,0,0.287593985,0,0.029166667,0,0.0005,0,0.117546667,0.016025,0.02627451,0.031666667,0.016503528,0.044801914,0.032281553,0.173464604,0.005856,0.044999473,0.024667628,0.088,green beans frozen,2.741769912,119
72,bear black,0.171840355,0.234813084,0.083,0,0,0,0,0,0,0,0,0,0.04,0.1,0.014285714,0,0,0.058252427,0,0,0.025608599,0,0,green bean fresh,0.732427113,62
73,bear naked double chocolate cookies,0.468957871,0.077102804,0.169,0.669,0.352705411,0.131578947,0,0,0,0,0,0,0.00375,0.005882353,0.00625,0,0,0.029935275,0.075949367,0,0.013910844,0,0.042666667,chocolate,6.6,74
74,bear naked fruit and nut cookies,0.49113082,0.087616822,0.214,0.616,0.294589178,0.133458647,0,0.0075,0,0,0.006024096,0,0.00625,0.013235294,0.008035714,0,0,0.016990291,0.052039381,0,0.013594689,0,0.032,exotic fruit,2.43,74
75,beef australian,0.325757576,0.199108255,0.249823333,0.001806667,0,0,0.000215556,0,0,0,0,0,0,0,0,0.000705668,0,0.014360841,0,0,0,0,0,beef,19.54409099,49
76,beef bologna,0.34368071,0.136682243,0.284,0.02,0,0,0,0.0225,0.019859155,0,0.001271754,0.0032,0.032875,0.019117647,0.005357143,0.002048714,0.003988301,0.011326861,0.014064698,0,0.012962377,0.05622297,0.106666667,beef,19.54409099,22
77,beef bottom sirloin,0.190133038,0.27021028,0.08146,0,0,0,0,0.0713125,0.017295775,0,0.00227577,0.00672,0.08473875,0.016985294,0.006053571,0.003738903,0.009797926,0.012839806,0.030801688,8.64E-05,0.031394246,0.129264777,0.221813333,beef,19.54409099,20
78,beef brisket,0.244137607,0.298647692,0.124209091,3.64E-05,0,0,1.82E-05,0.048776515,0.030098165,0,0.001894446,0.004829091,0.056636364,0.0260918,0.006263528,0.002234961,0.012545019,0.018635383,0.029663726,8.51E-05,0.031443106,0.123745868,0.325317172,beef,19.54409099,55
79,beef broth and tomato juice canned,0.041019956,0.007009346,0.001,0.085,0,0.001879699,0.0002,0.003,0.000704225,0.000375,0,0.00256,0.00205,0.004264706,8.93E-05,0.001877988,0.002260037,0.004692557,0.004219409,0.000224,0.002055011,0.003363767,0.001066667,tomato and basil,1.1465,63
80,beef carcass,0.3154102,0.203271028,0.233,0,0,0,0,0.04125,0.037746479,0,0,0.00448,0.04425,0.024264706,0.007142857,0.001365809,0.009173092,0.014886731,0.023909986,0.000104,0.024502055,0.081691494,0.190933333,beef,19.54409099,111
81,beef chuck,0.228468138,0.293342137,0.112674783,0.000384348,0,0,6.09E-05,0.047433696,0.048169014,0,0.001157674,0.004368696,0.04831413,0.03334399,0.007529503,0.001894318,0.013819174,0.021962854,0.030771112,9.71E-05,0.032010062,0.138144287,0.424802319,beef,19.54409099,55
82,beef chuck eye country style ribs,0.241407982,0.289768302,0.131816667,0,0,0,0.000133333,0.03928125,0.044518779,0,0.000819946,0.00336,0.050154167,0.029289216,0.006160714,0.002632028,0.012408047,0.019606257,0.024847632,0.000115333,0.029481505,0.128063431,0.449466667,beef boneless,27.7232718,55
83,beef chuck eye roast,0.203067258,0.266170171,0.102175,0,0,0,0.000119444,0.049375,0.041643192,0,0.000987282,0.002933333,0.0564,0.02502451,0.006190476,0.003101525,0.009184171,0.018149946,0.028949836,9.33E-05,0.031062283,0.116650649,0.454,beef,19.54409099,55
84,beef chuck eye steak,0.237452127,0.276497451,0.132827273,0,0,0,0.000124242,0.048511364,0.043201024,0,0.000851892,0.003141818,0.060177273,0.026938503,0.006306818,0.002685057,0.010079524,0.019836717,0.031198057,9.38E-05,0.032017935,0.124721506,0.473357576,beef,19.54409099,55
85,beef chuck for stew,0.17609017,0.31635514,0.055966667,0.000816667,0,0,6.11E-05,0.067520833,0.035446009,0,0.000903614,0.003626667,0.058458333,0.031544118,0.006919643,0.002503984,0.013870424,0.020590615,0.030473511,0.000122667,0.034935188,0.140877783,0.368088889,beef,19.54409099,55
86,beef corned beef hash,0.181818182,0.101985981,0.1024,0.0927,0.003406814,0.020676692,0,0.028875,0.005774648,0.000375,0.000267738,0.00448,0.01965,0.007352941,0.006160714,0.003243797,0,0.008090615,0.018284107,0.000672,0.008852355,0.036040365,0.074666667,beef,19.54409099,120
87,beef cured,0.282229965,0.246618408,0.177535714,0.012751786,0.002004008,0,4.76E-06,0.031580357,0.031443662,0.002665179,0.000687273,0.004434286,0.051746875,0.026305147,0.005601084,0.001402393,0.011846204,0.018111419,0.023407675,0.000175286,0.023389865,0.121773529,0.213609524,beef,19.54409099,81
88,beef flank,0.200110865,0.292089453,0.081864286,0,0,0,0,0.0695,0.022847082,0,0.002361828,0.006628571,0.084377679,0.019296219,0.00721301,0.003341355,0.011081779,0.0154184,0.03214788,9.60E-05,0.0338851,0.137330954,0.246895238,beef,19.54409099,20
89,beef grass fed,0.171286031,0.248189252,0.0771,0,0,0,0,0.062875,0.022816901,0,0.001907631,0.00608,0.07200625,0.020441176,0.004508929,0.001792625,0.00870779,0.015533981,0.029535865,7.60E-05,0.030588049,0.084814993,0.2176,beef,19.54409099,20
90,beef ground,0.24266181,0.287627948,0.128554762,0.000161905,0,0,0.000107143,0.046922619,0.03638833,0,0.000909989,0.005226667,0.068194048,0.025504202,0.00380102,0.003085266,0.010822223,0.021189706,0.03010515,9.22E-05,0.03184138,0.096748358,0.320533333,beef,19.54409099,81
91,beef loin,0.201995565,0.296867601,0.087332,0.000576,0,0,0.0001,0.075403333,0.042516432,0,0.001046854,0.003336533,0.072079333,0.039801961,0.005922619,0.002117004,0.011025436,0.020659115,0.02617909,3.72E-05,0.036197703,0.123209995,0.256597333,beef,19.54409099,20
92,beef macaroni with tomato sauce frozen entree,0.125277162,0.068808411,0.0196,0.1799,0.038076152,0.026315789,0.000266667,0.014625,0.004084507,0.001625,0.004350736,0.03072,0.022575,0.013529412,0.010357143,0.002048714,0.016352034,0.010517799,0.023909986,0.001392,0.010275055,0.058625661,0.0576,tomato and basil,1.1465,79
93,beef new zealand,0.235243004,0.270472341,0.131510811,0.003005405,0,0,0.022625225,0.026423987,0.068970308,0,0.004168023,0,0.044124155,0.039431638,0.006538369,0.001649584,0.052077869,0.019557421,0.027369141,0.068976108,0.029225163,0.030663532,0.202111712,beef,19.54409099,81
94,beef plate,0.25304878,0.293457944,0.134025,0,0,0,0,0.050625,0.056302817,0,0.000719545,0.00464,0.050278125,0.028308824,0.009285714,0.001835306,0.012097846,0.021925566,0.034106892,0,0.035607019,0.092503604,0.3452,beef,19.54409099,55
95,beef plate steak,0.253880266,0.281722157,0.147083333,0.0006875,0,0,0.000134722,0.055375,0.064665493,0,0.000775324,0.003173333,0.066125521,0.075747549,0.00827753,0.001123947,0.019149384,0.026098975,0.031293952,0.001150333,0.025825956,0.138435047,0.3524,pork,5.786150705,55
96,beef pot pie frozen entree,0.243902439,0.084696262,0.1139,0.2205,0,0.015037594,0,0.016625,0.004507042,0.000125,0.001740295,0.01792,0.0204125,0.012794118,0.017589286,0.002390166,0.003988301,0.010113269,0.018284107,0.001656,0.010591211,0.025468525,0.058666667,beef,19.54409099,91
