,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
1214,nuts walnuts,0.655210643,0.185241433,0.534166667,0.236266667,0.119739479,0.107142857,3.33E-05,0.046666667,0,0.000416667,0.006202588,0.02752,0.006645833,0.01372549,0.011845238,0.013089005,0.130550386,0.0197411,0.168307548,0.019493333,0.045262936,0.035079289,0.114844444,mixed nuts,0.47,26
1215,oat bran cooked,0.044345898,0.0375,0.0086,0.1144,0,0.04887218,0,0.003125,0,0,0,0.00384,0.0018,0.005,0.014285714,0.001707262,0.008774262,0.007119741,0.05625879,0.007712,0.018811255,0.037001442,0.028266667,oat,0.7006,17
1216,oat bran raw,0.272727273,0.202102804,0.0703,0.6622,0.014529058,0.289473684,0,0.020625,0,0,0.006760375,0.03328,0.011675,0.032352941,0.104464286,0.009902117,0.053576177,0.043770227,0.330520394,0.04504,0.116029086,0.217203268,0.165866667,oat,0.7006,94
1217,oil almond,0.980044346,0,1,0,0,0,0,0,0,0,0.262382865,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1218,oil apricot kernel,0.980044346,0,1,0,0,0,0,0,0,0,0.026773762,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1219,oil avocado,0.980044346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1220,oil canola,0.980044346,0,1,0,0,0,0,0,0,0,0.11686747,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1221,oil cocoa butter,0.980044346,0,1,0,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0,butter,9.900066667,57
1222,oil coconut,0.955654102,0,1,0,0,0,0,0,0,0,0.00060241,0,0,0,0,0,0,0.000323625,0,0,0,0,0,soybean oil,2.303482143,39
1223,oil cooking and salad,0.980044346,0,1,0,0,0,0,0,0,0,0.144846051,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
